date,open,high,low,close,tick_volume,spread,real_volume
2002-12-31,2.7396000000000003,2.775,2.6808,2.7629,1652,0,0
2003-01-01,2.7721,2.7761,2.7661,2.7742,180,0,0
2003-01-02,2.7576,2.7718,2.73,2.771,703,0,0
2003-01-03,2.7348,2.7469,2.7254,2.7321999999999997,405,0,0
2003-01-06,2.7395,2.752,2.7277,2.7387,479,0,0
2003-01-07,2.7382999999999997,2.7504999999999997,2.7278000000000002,2.7367,439,0,0
2003-01-08,2.7461,2.7683999999999997,2.7325,2.7375,633,0,0
2003-01-09,2.7631,2.778,2.7456,2.7657,623,0,0
2003-01-10,2.7531,2.761,2.7437,2.7547,331,0,0
2003-01-13,2.7531,2.7628,2.7448,2.7516,346,0,0
2003-01-14,2.7523999999999997,2.7601,2.7403,2.7569,352,0,0
2003-01-15,2.7455,2.7571,2.7348,2.7445,437,0,0
2003-01-16,2.7533,2.7796,2.7335000000000003,2.7467,857,0,0
2003-01-17,2.7895,2.8186999999999998,2.7718,2.778,824,0,0
2003-01-20,2.7911,2.7989,2.7771,2.7972,376,0,0
2003-01-21,2.8058,2.8563,2.775,2.7861000000000002,1430,0,0
2003-01-22,2.8518,2.876,2.8262,2.8533,982,0,0
2003-01-23,2.8663,2.9016,2.8411,2.8561,1109,0,0
2003-01-24,2.8564,2.8769,2.8201,2.8723,978,0,0
2003-01-27,2.8467000000000002,2.8567,2.8297,2.8536,472,0,0
2003-01-28,2.8299,2.8428,2.8051,2.8417,637,0,0
2003-01-29,2.8089,2.8282,2.7932,2.8052,664,0,0
2003-01-30,2.7898,2.8019,2.7743,2.7932,519,0,0
2003-01-31,2.8003,2.8208,2.7875,2.7925,589,0,0
2003-02-04,2.8227,2.84,2.8118,2.8162000000000003,500,0,0
2003-02-05,2.8295,2.8509,2.8074,2.8302,864,0,0
2003-02-06,2.8249,2.8521,2.8106,2.8120000000000003,702,0,0
2003-02-07,2.8356,2.8508,2.8148,2.8411,666,0,0
2003-02-10,2.8414,2.8518,2.8289,2.8434,439,0,0
2003-02-11,2.8259,2.8385,2.8056,2.8337,581,0,0
2003-02-12,2.822,2.8307,2.8133,2.8219,348,0,0
2003-02-13,2.8242000000000003,2.8461,2.8101000000000003,2.8165,644,0,0
2003-02-14,2.8308999999999997,2.8464,2.8047,2.8415,729,0,0
2003-02-17,2.8191,2.83,2.8024,2.8249,495,0,0
2003-02-18,2.8237,2.8352,2.8094,2.8265000000000002,489,0,0
2003-02-19,2.8192,2.8339,2.8097,2.8139,432,0,0
2003-02-20,2.8442,2.8702,2.8304,2.8319,674,0,0
2003-02-21,2.8602,2.8695,2.8473,2.8637,410,0,0
2003-02-24,2.8517,2.8643,2.8396,2.8513,491,0,0
2003-02-25,2.8619,2.8746,2.8514,2.8597,443,0,0
2003-02-26,2.8643,2.8724,2.8514,2.8692,372,0,0
2003-02-27,2.8578,2.8764,2.8313,2.8656,825,0,0
2003-02-28,2.8728,2.895,2.8592,2.8643,632,0,0
2003-03-03,2.9055999999999997,2.9407,2.8822,2.894,1055,0,0
2003-03-04,2.9515000000000002,2.98,2.9354,2.9392,770,0,0
2003-03-05,2.9526,2.9797000000000002,2.9246,2.9535,1094,0,0
2003-03-06,2.9375999999999998,2.948,2.9233000000000002,2.9416,455,0,0
2003-03-07,2.9355,2.9557,2.9205,2.9304,654,0,0
2003-03-11,2.9757,2.9911,2.9538,2.9821999999999997,682,0,0
2003-03-12,2.9952,3.0541,2.9586,2.973,1689,0,0
2003-03-13,2.9816000000000003,3.0048,2.9434,2.9965,1080,0,0
2003-03-14,2.9464,2.9615,2.9226,2.955,693,0,0
2003-03-17,2.9528,3.0015,2.9247,2.9323,1332,0,0
2003-03-18,2.9468,2.9714,2.9215,2.9476,991,0,0
2003-03-19,2.9381,2.9518,2.9196,2.9429,597,0,0
2003-03-20,2.93,2.9474,2.9149000000000003,2.9276999999999997,628,0,0
2003-03-21,2.9232,2.9372,2.9039,2.9286,613,0,0
2003-03-25,2.9471,2.9721,2.9275,2.9417999999999997,840,0,0
2003-03-26,2.9333,2.9600999999999997,2.9106,2.9291,949,0,0
2003-03-27,2.9403,2.9629,2.9177999999999997,2.9403,903,0,0
2003-03-28,2.967,3.0272,2.9332000000000003,2.9406,1617,0,0
2003-03-31,2.997,3.044,2.9666,2.9802999999999997,1382,0,0
2003-04-01,3.0225,3.0437,2.9925,3.0314,936,0,0
2003-04-02,2.9876,3.0224,2.9288,3.0117,1632,0,0
2003-04-03,2.9421,2.9546,2.9263,2.9454000000000002,534,0,0
2003-04-04,2.9453,2.9592,2.9284,2.9484,586,0,0
2003-04-08,2.9139,2.9402,2.8905,2.911,966,0,0
2003-04-09,2.8963,2.9305,2.8605,2.898,1384,0,0
2003-04-10,2.892,2.9227,2.8432,2.9102,1409,0,0
2003-04-11,2.8465,2.8624,2.8244,2.8527,699,0,0
2003-04-14,2.8321,2.8504,2.8185000000000002,2.8273,591,0,0
2003-04-15,2.8442,2.8728,2.8172,2.8427,1098,0,0
2003-04-16,2.8276,2.8624,2.7972,2.8231,1260,0,0
