date,open,high,low,close,tick_volume,spread,real_volume
2015-03-05,1.4099,1.4175,1.4045,1.4045,18694,80,0
2015-03-06,1.4068,1.4085,1.3916,1.3934,40836,80,0
2015-03-09,1.3951,1.4032,1.3949,1.3996,19457,60,2179500000
2015-03-10,1.3994,1.4022000000000001,1.387,1.3905,24536,60,10486000000
2015-03-11,1.3900000000000001,1.3919000000000001,1.3721999999999999,1.374,28834,50,11951000000
2015-03-12,1.3738000000000001,1.3751,1.3696,1.3696,5264,80,0
2015-09-23,1.45421,1.46228,1.4533,1.45587,33854,200,0
2015-09-24,1.45602,1.47458,1.45255,1.45567,86965,200,0
2015-09-25,1.45567,1.45898,1.44523,1.45325,70772,98,11680000000
2015-09-28,1.4522300000000001,1.46738,1.45203,1.46465,36134,200,36640000000
2015-09-29,1.46491,1.47437,1.46422,1.46715,38377,200,38737380000
2015-09-30,1.46578,1.46881,1.45274,1.45845,37721,200,37906515000
2015-10-01,1.45851,1.46644,1.45579,1.4617499999999999,35898,200,36315235000
2015-10-02,1.46128,1.48554,1.4606,1.47245,38191,200,38475285000
2015-10-05,1.47016,1.47589,1.45157,1.45305,39510,200,39793000000
2015-10-06,1.45343,1.46848,1.45227,1.46505,35990,200,36276000000
2015-10-07,1.4653,1.47418,1.4458,1.44835,40427,200,40908850000
2015-10-08,1.4478900000000001,1.46055,1.44648,1.4516499999999999,37070,177,37334760000
2015-10-09,1.44919,1.45387,1.44557,1.44635,52908,200,53271998000
2015-10-12,1.44743,1.45842,1.44741,1.45075,57504,200,57827000000
2015-10-13,1.4494500000000001,1.46523,1.4492099999999999,1.46215,69884,200,70468891000
2015-10-14,1.46129,1.46485,1.44538,1.45015,81629,200,82435095000
2015-10-15,1.44907,1.45182,1.44379,1.44565,82310,200,82822610000
2015-10-16,1.44559,1.45445,1.44337,1.44885,68129,200,68314660000
2015-10-19,1.44564,1.45366,1.44324,1.4497499999999999,64589,200,65104000000
2015-10-20,1.44718,1.46203,1.44687,1.4516499999999999,63701,200,64133000000
2015-10-21,1.45218,1.45969,1.44787,1.45085,80198,200,80550000000
2015-10-22,1.45086,1.45252,1.42945,1.43045,82938,200,83496000000
2015-10-23,1.43035,1.43261,1.41919,1.4255499999999999,91980,200,92499425000
2015-10-26,1.42354,1.4289100000000001,1.41214,1.41384,72417,200,72753140000
2015-10-27,1.41387,1.41878,1.40936,1.41304,72590,200,72914000000
2015-10-28,1.41304,1.41898,1.40735,1.40917,90064,200,90475000000
2015-10-29,1.40916,1.41944,1.4066100000000001,1.41582,85102,200,85469376000
2015-10-30,1.41583,1.42061,1.41173,1.41475,95537,200,95951099000
2015-11-02,1.41875,1.42405,1.4129,1.41365,64703,200,65136000000
2015-11-03,1.4139599999999999,1.41644,1.40604,1.40635,68447,200,68860100000
2015-11-04,1.40621,1.41286,1.40328,1.40995,84417,200,85560841000
2015-11-05,1.40976,1.41281,1.40717,1.41125,87120,200,87914000000
2015-11-06,1.41041,1.4145400000000001,1.40301,1.40855,88076,200,88922992000
2015-11-09,1.40961,1.4233799999999999,1.4086,1.41601,84421,200,85313000000
2015-11-10,1.41586,1.41704,1.40938,1.41074,89827,200,90906000000
2015-11-11,1.41071,1.4155,1.40875,1.41087,82250,200,82875000000
2015-11-12,1.41123,1.41936,1.40614,1.41509,101926,200,102790300000
2015-11-13,1.41394,1.4186,1.40855,1.41275,91374,200,91904000000
2015-11-16,1.40941,1.41403,1.40542,1.40695,80915,200,81442000000
2015-11-17,1.40548,1.40712,1.39729,1.40141,85181,200,86174000000
2015-11-18,1.40194,1.4042,1.3912200000000001,1.3915,82809,200,83824998000
2015-11-19,1.39151,1.39605,1.38567,1.39304,96841,200,97842000000
2015-11-20,1.39209,1.39358,1.38172,1.38405,89434,200,90189000000
2015-11-23,1.38137,1.39262,1.38121,1.3893900000000001,78621,200,79513999000
2015-11-24,1.38957,1.39131,1.3848,1.38489,76398,200,77238100000
2015-11-25,1.38501,1.38523,1.37108,1.37223,94077,200,94972000000
2015-11-26,1.37205,1.37696,1.37127,1.37374,71589,200,72224400000
2015-11-27,1.3738000000000001,1.377,1.3648799999999999,1.36785,75741,200,76512000000
2015-11-30,1.36782,1.3731499999999999,1.36585,1.3695,75278,200,76310000000
2015-12-01,1.3694,1.37357,1.3644,1.36857,72895,200,74200000000
2015-12-02,1.36844,1.38465,1.36603,1.38425,59856,200,60661000000
2015-12-03,1.38315,1.40975,1.3671,1.40167,108488,200,109949500000
2015-12-04,1.40104,1.40629,1.38945,1.39955,120347,200,122131495000
2015-12-07,1.3957,1.40509,1.3957,1.40384,87543,200,88672000000
2015-12-08,1.40189,1.42085,1.40189,1.41734,91842,200,93039000000
2015-12-09,1.41641,1.4301599999999999,1.41183,1.42656,99916,200,102262000000
2015-12-10,1.4249100000000001,1.4268399999999999,1.41433,1.419,88602,200,90685000000
2015-12-11,1.41779,1.44069,1.41449,1.43425,94496,200,96666000000
2015-12-14,1.43198,1.43738,1.42611,1.42727,112248,200,113566100000
2015-12-15,1.42792,1.43465,1.41405,1.41615,95155,200,96299800000
2015-12-16,1.41498,1.43208,1.41479,1.41774,116515,200,119121000000
2015-12-17,1.4187400000000001,1.42943,1.4151500000000001,1.42011,112869,200,114742000000
2015-12-18,1.42136,1.42587,1.41451,1.4212500000000001,111251,200,112831000000
2015-12-21,1.41668,1.42422,1.41381,1.41573,86618,200,87761000000
2015-12-22,1.41584,1.42283,1.41132,1.41751,76564,200,77431000000
2015-12-23,1.41812,1.42245,1.41183,1.41404,76010,200,76894000000
2015-12-24,1.41361,1.42431,1.41317,1.42097,41235,200,41926000000
2015-12-28,1.41937,1.42489,1.41758,1.41758,56480,200,57281000000
2015-12-29,1.41916,1.42801,1.41736,1.41736,52222,200,53804000000
2015-12-30,1.41805,1.4341300000000001,1.41805,1.42883,53671,200,54642000000
2015-12-31,1.42861,1.43136,1.4127100000000001,1.41561,38979,200,39697100000
2016-01-04,1.41346,1.43254,1.41217,1.41898,52980,200,56029000000
2016-01-05,1.41869,1.42241,1.40784,1.4120599999999999,43797,200,46549000000
2016-01-06,1.41158,1.42751,1.40981,1.42329,53374,200,56439200000
2016-01-07,1.42231,1.44281,1.42178,1.44071,64848,200,68390900000
2016-01-08,1.4401,1.44991,1.42846,1.44791,63488,200,65697000000
2016-01-11,1.44563,1.4595099999999999,1.42843,1.43072,54945,200,58062000000
2016-01-12,1.42663,1.4436499999999999,1.42656,1.43322,52407,200,55361000000
2016-01-13,1.43254,1.43306,1.41571,1.4255499999999999,57289,200,60688000000
2016-01-14,1.42533,1.43795,1.42349,1.42771,68351,200,71988000000
2016-01-15,1.42683,1.44547,1.42611,1.4361,62139,200,74069100000
2016-01-18,1.43724,1.43861,1.42744,1.43106,29582,200,44909000000
2016-01-19,1.43103,1.43541,1.4210099999999999,1.43036,43714,200,54221500000
2016-01-20,1.42882,1.44058,1.42609,1.4292,55573,200,59303000000
2016-01-21,1.42794,1.43625,1.41571,1.42015,69779,200,77544000000
2016-01-22,1.4197600000000001,1.42244,1.40271,1.4050099999999999,51100,200,57346000000
2016-01-25,1.40205,1.41217,1.40205,1.4104,47060,200,52736000000
2016-01-26,1.40982,1.41371,1.39611,1.39932,46904,200,51869000000
2016-01-27,1.40057,1.4120300000000001,1.39831,1.40755,57604,200,63788000000
2016-01-28,1.40814,1.41127,1.40041,1.4064,52598,200,58907000000
2016-01-29,1.40672,1.40723,1.38655,1.39019,62386,200,68599000000
2016-02-01,1.3905,1.4013200000000001,1.38797,1.39146,44508,200,48197100000
2016-02-02,1.39256,1.40331,1.39104,1.40093,47094,200,51432000000
2016-02-03,1.39964,1.4177,1.39894,1.4056199999999999,65637,200,71809000000
2016-02-04,1.40448,1.41005,1.39719,1.40457,73039,200,80751000000
2016-02-05,1.40525,1.41981,1.40391,1.41749,63205,200,69925000000
2016-02-08,1.41323,1.42621,1.41005,1.42148,62623,200,69050000000
2016-02-09,1.4210099999999999,1.44021,1.41951,1.43239,78997,200,81896000000
2016-02-10,1.43385,1.43731,1.41891,1.42695,84727,200,94446000000
2016-02-11,1.42813,1.43801,1.42463,1.42717,89331,200,97924000000
2016-02-12,1.42715,1.43505,1.42456,1.42841,63400,200,69674000000
2016-02-15,1.42401,1.43191,1.41313,1.41646,45453,200,49828000000
2016-02-16,1.41502,1.42441,1.41413,1.4199,59796,200,65336000000
2016-02-17,1.41714,1.42624,1.4120300000000001,1.4126699999999999,60415,200,65658000000
2016-02-18,1.41275,1.41771,1.40701,1.4101,53037,200,57263000000
2016-02-19,1.41067,1.42087,1.40738,1.4173499999999999,49190,200,51639000000
2016-02-22,1.41472,1.41951,1.3974,1.3986,39796,200,40439792000
2016-02-23,1.39855,1.42143,1.3967800000000001,1.4181300000000001,42640,200,43271900000
2016-02-24,1.41855,1.4263,1.4098899999999999,1.41957,51505,200,52284693000
2016-02-25,1.4188,1.42085,1.40951,1.41384,44149,200,44763495000
2016-02-26,1.4141,1.41783,1.40517,1.40979,41963,200,42446099000
2016-02-29,1.40831,1.41616,1.39973,1.40638,43876,200,44642882000
2016-03-01,1.40755,1.4082,1.39747,1.40082,45142,200,45545900000
2016-03-02,1.40275,1.4058,1.39711,1.39819,39918,200,40306900000
2016-03-03,1.40035,1.40251,1.39355,1.39785,40824,200,41426000000
2016-03-04,1.3982999999999999,1.3993,1.3805,1.38249,47913,200,48484000000
2016-03-07,1.3824100000000001,1.38886,1.37831,1.38304,36452,200,36883099000
2016-03-08,1.38273,1.39707,1.38195,1.3891,39244,200,39745346000
2016-03-09,1.3881999999999999,1.39096,1.37545,1.3848500000000001,38127,200,38538000000
2016-03-10,1.3807,1.40629,1.37012,1.40003,56069,200,56654200000
2016-03-11,1.3996,1.40298,1.38964,1.39313,44946,200,45490000000
2016-03-14,1.39377,1.39813,1.3900000000000001,1.39255,76365,200,11134000000
2016-03-15,1.39295,1.401,1.39101,1.39631,36631,200,37023000000
2016-03-16,1.39601,1.4036,1.39194,1.39346,42171,200,42786000000
2016-03-17,1.3941,1.40054,1.39092,1.39356,48822,200,49489000000
2016-03-18,1.3936,1.40216,1.39331,1.39898,39401,200,39991040000
2016-03-21,1.39572,1.40421,1.39453,1.3991,31479,200,31835000000
2016-03-22,1.39965,1.4055900000000001,1.39484,1.39648,37380,200,38147950000
2016-03-23,1.39618,1.40363,1.39383,1.4001299999999999,29214,200,30257065000
