date,open,high,low,close,tick_volume,spread,real_volume
2005-05-02,30.527,30.579,30.268,30.312,1195,0,0
2005-05-03,30.32,30.386,30.262,30.346,1204,0,0
2005-05-04,30.307,30.349,30.261,30.304,348,0,0
2005-05-05,29.957,30.043,29.893,29.995,2820,0,0
2005-05-06,29.998,30.041,29.804,29.875,5422,0,0
2005-05-09,29.936,29.973,29.721,29.888,5068,0,0
2005-05-10,29.884,30.115,29.849,30.07,6527,0,0
2005-05-11,30.069,30.169,29.859,29.898,6373,0,0
2005-05-12,29.899,30.038,29.777,29.958,6212,0,0
2005-05-13,29.994,30.123,29.95,30.084,2986,0,0
2005-05-16,30.083,30.218,30.038,30.129,4820,0,0
2005-05-17,30.131,30.343,30.096,30.277,6355,0,0
2005-05-18,30.274,30.33,30.157,30.211,6343,0,0
2005-05-19,30.205,30.309,30.084,30.258,6213,0,0
2005-05-20,30.261,30.353,30.204,30.295,5756,0,0
2005-05-23,30.289,30.421,30.219,30.33,4731,0,0
2005-05-24,30.331,30.508,30.272,30.452,6127,0,0
2005-05-25,30.447,30.642,30.411,30.561,4826,0,0
2005-05-26,30.563,30.648,30.44,30.573,6337,0,0
2005-05-27,30.569,30.653,30.436,30.466,5713,0,0
2005-05-30,30.528,30.612,30.438,30.471,3844,0,0
2005-05-31,30.478,30.588,30.267,30.358,6359,0,0
2005-06-01,30.351,30.501,30.323,30.396,6472,0,0
2005-06-02,30.395,30.548000000000002,30.202,30.252,7145,0,0
2005-06-03,30.244,30.312,30.098,30.149,6625,0,0
2005-06-06,30.167,30.236,30.065,30.158,5772,0,0
2005-06-07,30.156,30.217,30.038,30.093,5564,0,0
2005-06-08,30.101,30.192,30.025,30.069,4924,0,0
2005-06-09,30.067,30.169,29.945,30.084,6165,0,0
2005-06-10,30.082,30.127,29.93,29.98,6617,0,0
2005-06-13,29.986,30.263,29.911,30.023,5621,0,0
2005-06-14,30.021,30.246,29.974,30.033,3204,0,0
2005-06-15,29.949,30.086,29.859,30.04,3667,0,0
2005-06-16,30.032,30.081,29.878,29.922,6696,0,0
2005-06-17,29.923000000000002,30.018,29.842,29.947,6502,0,0
2005-06-20,29.984,30.109,29.889,29.968,4014,0,0
2005-06-21,29.969,30.027,29.847,29.938,6667,0,0
2005-06-22,29.934,29.981,29.74,29.81,6563,0,0
2005-06-23,29.809,29.895,29.701999999999998,29.837,6451,0,0
2005-06-24,29.835,30.014,29.715,29.923000000000002,6165,0,0
2005-06-27,29.978,30.229,29.876,30.074,5402,0,0
2005-06-28,30.072,30.112,29.941,30.026,7761,0,0
2005-06-29,30.025,30.115,29.962,30.074,9388,0,0
2005-06-30,30.078,30.15,29.982,30.115,6070,0,0
2005-07-01,30.117,30.15,29.931,30.042,6086,0,0
2005-07-04,30.038,30.076,29.875,29.989,5155,0,0
2005-07-05,29.99,30.112,29.922,30.019,5983,0,0
2005-07-06,30.02,30.227,29.974,30.154,5474,0,0
2005-07-07,30.153,30.34,30.119,30.285,6324,0,0
2005-07-08,30.282,30.314,30.093,30.154,6048,0,0
2005-07-11,30.159,30.345,30.054,30.304,4290,0,0
2005-07-12,30.301,30.361,30.124,30.177,6521,0,0
2005-07-13,30.178,30.393,30.095,30.337,6160,0,0
2005-07-14,30.34,30.374,30.191,30.284,6453,0,0
2005-07-15,30.286,30.322,30.189,30.242,6108,0,0
2005-07-18,30.197,30.273,30.084,30.149,4003,0,0
2005-07-19,30.143,30.24,30.08,30.186,6039,0,0
2005-07-20,30.189,30.301,30.146,30.238,6210,0,0
2005-07-21,30.237,30.322,30.113,30.261,5109,0,0
2005-07-22,30.254,30.314,30.109,30.218,6723,0,0
2005-07-25,30.212,30.364,30.085,30.255,5905,0,0
2005-07-26,30.256,30.311,30.116,30.252,6173,0,0
2005-07-27,30.254,30.296,30.171,30.203,6078,0,0
2005-07-28,30.201,30.256,30.11,30.154,6271,0,0
2005-07-29,30.151,30.228,30.107,30.172,5312,0,0
2005-08-01,30.17,30.255,29.983,30.089,3550,0,0
2005-08-02,30.088,30.122,29.923000000000002,29.984,6230,0,0
2005-08-03,29.985,30.039,29.828,29.869,4620,0,0
2005-08-04,29.867,29.946,29.81,29.876,6198,0,0
2005-08-05,29.875,29.927,29.648,29.679,4161,0,0
2005-08-08,29.686,29.757,29.362,29.433,4302,0,0
2005-08-09,29.434,29.58,29.379,29.493,6053,0,0
2005-08-10,29.49,29.538,29.278,29.328,6185,0,0
2005-08-11,29.331,29.51,29.24,29.408,6290,0,0
2005-08-12,29.407,29.556,29.314,29.377,5581,0,0
2005-08-15,29.415,29.546,29.24,29.319,6066,0,0
2005-08-16,29.318,29.466,29.232,29.383,6397,0,0
2005-08-17,29.38,29.503,29.288,29.369,6330,0,0
2005-08-18,29.4,29.46,29.314,29.384,6390,0,0
2005-08-19,29.385,29.51,29.305,29.476,5817,0,0
2005-08-22,29.48,29.58,29.372,29.518,6167,0,0
2005-08-23,29.522,29.719,29.446,29.624,6568,0,0
2005-08-24,29.627,29.716,29.533,29.631,6470,0,0
2005-08-25,29.643,29.817,29.572,29.694,6283,0,0
2005-08-26,29.692,29.728,29.552,29.617,5639,0,0
2005-08-29,29.605,29.669,29.515,29.571,6057,0,0
2005-08-30,29.562,29.676,29.485,29.651,3867,0,0
2005-08-31,29.573,29.627,29.337,29.412,3093,0,0
2005-09-01,29.409,29.45,29.248,29.368,6079,0,0
2005-09-02,29.367,29.423,28.988,29.089,5433,0,0
2005-09-04,29.108,29.133,29.052,29.081,72,0,0
2005-09-05,29.08,29.233,28.985,29.079,5688,0,0
2005-09-06,29.08,29.185,29.047,29.147,6090,0,0
2005-09-07,29.148,29.331,29.013,29.272,5977,0,0
2005-09-08,29.27,29.311,29.03,29.22,5969,0,0
2005-09-09,29.223,29.412,29.121,29.226,5651,0,0
2005-09-11,29.233,29.258,29.208,29.233,2,0,0
2005-09-12,29.221,29.287,29.134,29.198,6226,0,0
2005-09-13,29.197,29.386,29.135,29.287,6099,0,0
2005-09-14,29.293,29.434,29.18,29.277,6620,0,0
2005-09-15,29.249,29.357,28.849,29.171,6153,0,0
2005-09-16,29.17,29.205,28.99,29.079,5549,0,0
2005-09-18,28.937,28.962,28.912,28.937,101,0,0
2005-09-19,28.976,29.269,28.94,29.234,2542,0,0
2005-09-20,29.35,29.554,29.189,29.323,4719,0,0
2005-09-21,29.328,29.522,29.236,29.487,6083,0,0
2005-09-22,29.494,29.569,29.393,29.512,4741,0,0
2005-09-23,29.506,29.596,29.404,29.477,5929,0,0
2005-09-25,29.524,29.55,29.497,29.523,7,0,0
2005-09-26,29.465,29.598,29.41,29.49,4289,0,0
2005-09-27,29.493,29.525,29.291,29.343,6645,0,0
2005-09-28,29.344,29.606,29.274,29.508,6897,0,0
2005-09-29,29.475,29.691,29.446,29.59,5104,0,0
2005-09-30,29.587,29.647,29.439,29.619,6348,0,0
2005-10-03,29.556,29.696,29.477,29.642,4250,0,0
2005-10-04,29.64,29.721,29.518,29.614,6374,0,0
2005-10-05,29.615,29.714,29.518,29.635,5470,0,0
2005-10-06,29.625,29.806,29.587,29.736,4435,0,0
2005-10-07,29.737,29.797,29.575,29.658,5922,0,0
2005-10-10,29.64,29.722,29.486,29.528,4471,0,0
2005-10-11,29.519,29.603,29.452,29.5,6316,0,0
2005-10-12,29.502,29.683,29.458,29.623,5423,0,0
2005-10-13,29.624,29.788,29.576999999999998,29.73,5862,0,0
2005-10-14,29.731,29.794,29.593,29.646,5621,0,0
2005-10-17,29.673000000000002,29.853,29.491,29.772,5153,0,0
2005-10-18,29.774,29.836,29.655,29.724,6785,0,0
2005-10-19,29.722,29.813,29.659,29.742,5863,0,0
2005-10-20,29.739,29.816,29.654,29.743,6723,0,0
2005-10-21,29.742,29.864,29.663,29.81,5823,0,0
2005-10-23,29.802,29.83,29.77,29.799,96,0,0
2005-10-24,29.8,29.865,29.689,29.724,5560,0,0
2005-10-25,29.728,29.771,29.613,29.649,5809,0,0
2005-10-26,29.651,29.885,29.585,29.772,6367,0,0
2005-10-27,29.775,29.898,29.63,29.713,6110,0,0
2005-10-28,29.712,29.754,29.655,29.701,5411,0,0
2005-10-31,29.696,29.764,29.556,29.648,5674,0,0
2005-11-01,29.65,29.693,29.58,29.64,5999,0,0
2005-11-02,29.642,29.744,29.46,29.503,5876,0,0
2005-11-03,29.502,29.545,29.24,29.273,5601,0,0
2005-11-04,29.272,29.403,29.182,29.245,5581,0,0
2005-11-06,29.239,29.264,29.211,29.236,2,0,0
2005-11-07,29.235,29.391,29.168,29.254,5394,0,0
2005-11-08,29.256,29.345,29.207,29.28,5965,0,0
2005-11-09,29.281,29.437,29.224,29.389,5470,0,0
2005-11-10,29.385,29.51,29.263,29.297,4312,0,0
2005-11-11,29.296,29.396,29.146,29.234,5086,0,0
2005-11-14,29.191,29.378,29.141,29.272,5125,0,0
2005-11-15,29.246,29.533,29.182,29.448,5981,0,0
2005-11-16,29.451,29.478,29.213,29.345,6802,0,0
2005-11-17,29.331,29.425,29.215,29.344,6669,0,0
2005-11-18,29.345,29.419,29.231,29.291,6271,0,0
2005-11-20,29.314,29.339,29.289,29.314,101,0,0
2005-11-21,29.303,29.402,29.182,29.264,6610,0,0
2005-11-22,29.262,29.336,29.175,29.287,6424,0,0
2005-11-23,29.286,29.332,29.11,29.19,6599,0,0
2005-11-24,29.187,29.246,29.059,29.109,5628,0,0
2005-11-25,29.111,29.145,29.037,29.085,5229,0,0
2005-11-27,29.113,29.144,29.085,29.113,145,0,0
2005-11-28,29.116,29.164,28.912,29.021,2701,0,0
2005-11-29,29.001,29.076,28.901,28.991,3707,0,0
2005-11-30,28.989,29.064,28.849,28.927,5762,0,0
2005-12-01,28.926,29.022,28.868,28.905,5723,0,0
2005-12-02,28.904,29.003,28.824,28.924,4733,0,0
2005-12-04,28.919,28.954,28.892,28.922,131,0,0
2005-12-05,28.921,28.999,28.804,28.899,6699,0,0
2005-12-06,28.901,29.113,28.853,29.034,5274,0,0
2005-12-07,29.037,29.097,28.936,29.041,5754,0,0
2005-12-08,29.044,29.181,28.985,29.113,5836,0,0
2005-12-09,29.114,29.165,28.992,29.076,5426,0,0
2005-12-11,28.991,29.117,28.965,29.087,210,0,0
2005-12-12,29.088,29.158,28.941,29.013,5959,0,0
2005-12-13,29.015,29.088,28.94,28.976,5945,0,0
2005-12-14,28.977,29.051,28.921,28.967,6231,0,0
2005-12-15,28.969,29.013,28.873,28.924,6014,0,0
2005-12-16,28.923000000000002,29.088,28.888,29.026,5438,0,0
2005-12-19,28.934,29.033,28.904,28.949,3934,0,0
2005-12-20,28.95,28.989,28.866,28.945,5291,0,0
2005-12-21,28.944,28.993,28.881,28.956,5652,0,0
2005-12-22,28.954,29.041,28.777,28.964,5440,0,0
2005-12-23,28.966,29.045,28.88,28.98,3810,0,0
2005-12-26,28.953,29.015,28.918,28.974,102,0,0
2005-12-27,28.954,28.982,28.885,28.92,4784,0,0
2005-12-28,28.922,28.958,28.84,28.948,11958,0,0
2005-12-29,28.945,29.043,28.897,29.012,13071,0,0
2005-12-30,29.013,29.093,28.93,29.07,14633,0,0
2006-01-02,29.012,29.029,29.005,29.025,266,0,0
2006-01-03,29.024,29.075,28.957,29.027,10112,0,0
2006-01-04,29.026,29.043,28.934,28.953,21527,0,0
2006-01-05,28.951,29.018,28.867,28.878,11405,0,0
2006-01-06,28.876,28.931,28.851,28.875,11304,0,0
2006-01-09,28.865,28.885,28.726,28.768,16919,0,0
2006-01-10,28.77,28.837,28.743,28.77,9941,0,0
2006-01-11,28.768,28.806,28.666,28.703,13863,0,0
2006-01-12,28.701999999999998,28.824,28.693,28.774,10059,0,0
2006-01-13,28.777,28.857,28.765,28.801,15465,0,0
2006-01-15,28.805,28.813,28.801,28.807,442,0,0
2006-01-16,28.809,28.837,28.745,28.772,6030,0,0
2006-01-17,28.773,28.818,28.759,28.779,9131,0,0
2006-01-18,28.78,28.868,28.748,28.765,14580,0,0
2006-01-19,28.766,28.783,28.672,28.681,15748,0,0
2006-01-20,28.682,28.711,28.539,28.562,12063,0,0
2006-01-22,28.589,28.595,28.586,28.591,725,0,0
2006-01-23,28.59,28.629,28.542,28.568,13860,0,0
2006-01-24,28.567,28.587,28.507,28.53,12265,0,0
2006-01-25,28.527,28.535,28.265,28.352,16484,0,0
2006-01-26,28.354,28.461,28.337,28.414,13062,0,0
2006-01-27,28.416,28.446,28.283,28.289,12304,0,0
2006-01-29,28.299,28.305,28.283,28.3,448,0,0
2006-01-30,28.299,28.423,28.224,28.373,13845,0,0
2006-01-31,28.372,28.427,28.327,28.341,14020,0,0
2006-02-01,28.343,28.482,28.268,28.475,16829,0,0
2006-02-02,28.474,28.552,28.457,28.511,10632,0,0
2006-02-03,28.509,28.555,28.417,28.434,13708,0,0
2006-02-05,28.428,28.448,28.428,28.446,306,0,0
2006-02-06,28.445,28.455,28.297,28.388,13503,0,0
2006-02-07,28.39,28.515,28.365,28.504,15597,0,0
2006-02-08,28.502,28.57,28.404,28.408,15333,0,0
2006-02-09,28.409,28.443,28.296,28.33,13955,0,0
2006-02-10,28.328,28.35,28.214,28.311,9542,0,0
2006-02-12,28.33,28.336,28.325,28.329,313,0,0
2006-02-13,28.33,28.506,28.305,28.466,13263,0,0
2006-02-14,28.465,28.613,28.395,28.553,14377,0,0
2006-02-15,28.552,28.597,28.324,28.364,15590,0,0
2006-02-16,28.367,28.371,28.264,28.336,12708,0,0
2006-02-17,28.335,28.363,28.261,28.343,14615,0,0
2006-02-19,28.349,28.355,28.346,28.349,405,0,0
2006-02-20,28.35,28.416,28.332,28.395,8677,0,0
2006-02-21,28.394,28.523,28.384,28.504,7101,0,0
2006-02-22,28.505,28.574,28.453,28.505,13775,0,0
2006-02-23,28.504,28.569,28.332,28.37,15877,0,0
2006-02-24,28.369,28.393,28.284,28.315,12735,0,0
2006-02-26,28.313,28.321,28.308,28.316,989,0,0
2006-02-27,28.315,28.353,28.269,28.306,9478,0,0
2006-02-28,28.304,28.349,28.249,28.311,10999,0,0
2006-03-01,28.31,28.345,28.237,28.311,9794,0,0
2006-03-02,28.31,28.502,28.281,28.47,10237,0,0
2006-03-03,28.523,28.599,28.45,28.542,25854,0,0
2006-03-06,28.475,28.551,28.466,28.513,5371,0,0
2006-03-07,28.51,28.756,28.494,28.732,6010,0,0
2006-03-08,28.733,28.855,28.692,28.797,5949,0,0
2006-03-09,28.798000000000002,28.844,28.597,28.701,5877,0,0
2006-03-10,28.697,28.815,28.619,28.733,5506,0,0
2006-03-13,28.746,28.877,28.579,28.823,5689,0,0
2006-03-14,28.821,28.87,28.614,28.695,6262,0,0
2006-03-15,28.69,28.768,28.645,28.665,5971,0,0
2006-03-16,28.664,28.729,28.417,28.462,5899,0,0
2006-03-17,28.461,28.65,28.437,28.57,5695,0,0
2006-03-20,28.576999999999998,28.63,28.443,28.481,5557,0,0
2006-03-21,28.48,28.615,28.445,28.584,5777,0,0
2006-03-22,28.583,28.71,28.559,28.643,5843,0,0
2006-03-23,28.647,28.755,28.546,28.653,5970,0,0
2006-03-24,28.652,28.722,28.611,28.632,5494,0,0
2006-03-27,28.604,28.691,28.589,28.683,5326,0,0
2006-03-28,28.686,28.708,28.634,28.691,5755,0,0
2006-03-29,28.69,28.759,28.63,28.667,5695,0,0
2006-03-30,28.668,28.69,28.537,28.538,5750,0,0
2006-03-31,28.553,28.627,28.409,28.429,5690,0,0
2006-04-03,28.457,28.483,28.331,28.409,5339,0,0
2006-04-04,28.406,28.553,28.381,28.495,5755,0,0
2006-04-05,28.497,28.566,28.438,28.483,6096,0,0
2006-04-06,28.482,28.652,28.452,28.532,6138,0,0
2006-04-07,28.53,28.685,28.439,28.678,5775,0,0
2006-04-10,28.625,28.63,28.511,28.535,4960,0,0
2006-04-11,28.534,28.598,28.484,28.516,5574,0,0
2006-04-12,28.522,28.596,28.492,28.559,5954,0,0
2006-04-13,28.56,28.678,28.482,28.633,5792,0,0
2006-04-14,28.643,28.666,28.584,28.623,4782,0,0
2006-04-17,28.618,28.638,28.557,28.592,5361,0,0
2006-04-18,28.598,28.633,28.484,28.501,5736,0,0
2006-04-19,28.499,28.537,28.452,28.503,5844,0,0
2006-04-20,28.499,28.507,28.38,28.413,5770,0,0
2006-04-21,28.385,28.425,28.303,28.308,5090,0,0
2006-04-24,28.424,28.427,28.31,28.342,5259,0,0
2006-04-25,28.341,28.405,28.321,28.362,5490,0,0
2006-04-26,28.361,28.446,28.316,28.338,5426,0,0
2006-04-27,28.339,28.431,28.328,28.41,5353,0,0
2006-04-28,28.413,28.484,28.352,28.455,5313,0,0
2006-05-01,28.478,28.528,28.398,28.453,4004,0,0
2006-05-02,28.454,28.474,28.249,28.266,5546,0,0
2006-05-03,28.264,28.33,28.213,28.254,5544,0,0
2006-05-04,28.248,28.378,28.225,28.272,5491,0,0
2006-05-05,28.273,28.315,28.215,28.219,5256,0,0
2006-05-08,28.218,28.261,28.166,28.193,3891,0,0
2006-05-09,28.195,28.299,28.161,28.238,5292,0,0
2006-05-10,28.237,28.302,28.2,28.234,5487,0,0
2006-05-11,28.232,28.258,28.111,28.137,5658,0,0
2006-05-12,28.144,28.298,28.117,28.225,5343,0,0
2006-05-15,28.249,28.418,28.204,28.327,5357,0,0
2006-05-16,28.325,28.354,28.121,28.143,5572,0,0
2006-05-17,28.142,28.41,28.098,28.396,5418,0,0
2006-05-18,28.394,28.418,28.229,28.323,5428,0,0
2006-05-19,28.323,28.363,28.219,28.254,5344,0,0
2006-05-22,28.237,28.33,28.214,28.317,5489,0,0
2006-05-23,28.315,28.342,28.137,28.222,5459,0,0
2006-05-24,28.221,28.311,28.139,28.192,5089,0,0
2006-05-25,28.19,28.217,28.089,28.109,5575,0,0
2006-05-26,28.111,28.173,28.063,28.132,5367,0,0
2006-05-29,28.141,28.203,28.126,28.18,4830,0,0
2006-05-30,28.179,28.222,28.133,28.214,5346,0,0
2006-05-31,28.212,28.245,28.154,28.238,5386,0,0
2006-06-01,28.237,28.251,28.178,28.195,5467,0,0
2006-06-02,28.198,28.24,28.127,28.173,5407,0,0
2006-06-05,28.185,28.346,28.168,28.297,5296,0,0
2006-06-06,28.302,28.332,28.131,28.155,5652,0,0
2006-06-07,28.156,28.199,28.109,28.142,5012,0,0
2006-06-08,28.14,28.246,28.104,28.194,5761,0,0
2006-06-09,28.189,28.251,28.169,28.233,5302,0,0
2006-06-12,28.208,28.297,28.168,28.277,4875,0,0
2006-06-13,28.275,28.345,28.262,28.31,5536,0,0
2006-06-14,28.314,28.347,28.266,28.308,5618,0,0
2006-06-15,28.307,28.382,28.246,28.347,5755,0,0
2006-06-16,28.349,28.497,28.269,28.474,5128,0,0
2006-06-19,28.483,28.529,28.429,28.498,5232,0,0
2006-06-20,28.499,28.522,28.429,28.498,5375,0,0
2006-06-21,28.499,28.544,28.319,28.338,5376,0,0
2006-06-22,28.34,28.501,28.295,28.452,5335,0,0
2006-06-23,28.453,28.535,28.402,28.427,5295,0,0
2006-06-26,28.443,28.513,28.364,28.385,5342,0,0
2006-06-27,28.382,28.442,28.373,28.4,5592,0,0
2006-06-28,28.399,28.437,28.341,28.388,5457,0,0
2006-06-29,28.389,28.542,28.369,28.427,5605,0,0
2006-06-30,28.423,28.506,28.367,28.466,5570,0,0
2006-07-03,28.446,28.491,28.378,28.387,5072,0,0
2006-07-04,28.385,28.419,28.358,28.387,5689,0,0
2006-07-05,28.393,28.558,28.363,28.513,5983,0,0
2006-07-06,28.511,28.55,28.431,28.461,5551,0,0
2006-07-07,28.462,28.502,28.373,28.428,5300,0,0
2006-07-10,28.45,28.451,28.377,28.436,5212,0,0
2006-07-11,28.437,28.45,28.349,28.39,5313,0,0
2006-07-12,28.389,28.475,28.369,28.457,5423,0,0
2006-07-13,28.456,28.527,28.427,28.514,5466,0,0
2006-07-14,28.512,28.529,28.411,28.435,5402,0,0
2006-07-17,28.431,28.478,28.397,28.446,5066,0,0
2006-07-18,28.445,28.465,28.392,28.398,5485,0,0
2006-07-19,28.397,28.444,28.338,28.348,5498,0,0
2006-07-20,28.344,28.42,28.283,28.333,5563,0,0
2006-07-21,28.358,28.392,28.338,28.376,5148,0,0
2006-07-24,28.383,28.449,28.314,28.323,5157,0,0
2006-07-25,28.322,28.36,28.262,28.301,5528,0,0
2006-07-26,28.298,28.383,28.285,28.37,5495,0,0
2006-07-27,28.371,28.4,28.305,28.357,5472,0,0
2006-07-28,28.355,28.478,28.337,28.442,5394,0,0
2006-07-31,28.372,28.544,28.364,28.465,5151,0,0
2006-08-01,28.463,28.493,28.428,28.446,5615,0,0
2006-08-02,28.444,28.479,28.43,28.454,5718,0,0
2006-08-03,28.453,28.461,28.326,28.332,5577,0,0
2006-08-04,28.337,28.366,28.261,28.283,5251,0,0
2006-08-07,28.28,28.296,28.199,28.237,5160,0,0
2006-08-08,28.236,28.249,28.167,28.168,5556,0,0
2006-08-09,28.167,28.181,28.02,28.034,5569,0,0
2006-08-10,28.04,28.055,27.959,28.004,5083,0,0
2006-08-11,28.003,28.023,27.914,27.98,5374,0,0
2006-08-14,27.957,28.105,27.935,28.072,4869,0,0
2006-08-15,28.073,28.132,28.001,28.038,5549,0,0
2006-08-16,28.042,28.103,28.009,28.06,5216,0,0
2006-08-17,28.061,28.069,27.955,28.02,5346,0,0
2006-08-18,28.009,28.096,28.001,28.087,5132,0,0
2006-08-21,28.047,28.173,28.01,28.156,5143,0,0
2006-08-22,28.158,28.183,28.073,28.127,5536,0,0
2006-08-23,28.128,28.148,28.066,28.13,5436,0,0
2006-08-24,28.133,28.212,28.081,28.136,5559,0,0
2006-08-25,28.137,28.193,28.131,28.157,5314,0,0
2006-08-28,28.161,28.184,28.102,28.149,5233,0,0
2006-08-29,28.148,28.234,28.138,28.214,5606,0,0
2006-08-30,28.213,28.236,28.174,28.208,5735,0,0
2006-08-31,28.209,28.231,28.166,28.22,5669,0,0
2006-09-01,28.223,28.25,28.19,28.218,4493,0,0
2006-09-04,28.216,28.232,28.143,28.162,4827,0,0
2006-09-05,28.164,28.185,28.122,28.14,5545,0,0
2006-09-06,28.137,28.23,28.121,28.215,4411,0,0
2006-09-07,28.216,28.297,28.205,28.243,5318,0,0
2006-09-08,28.24,28.303,28.224,28.274,5391,0,0
2006-09-11,28.266,28.36,28.247,28.352,5265,0,0
2006-09-12,28.35,28.4,28.331,28.348,5435,0,0
2006-09-13,28.35,28.52,28.344,28.494,5427,0,0
2006-09-14,28.493,28.533,28.386,28.418,5504,0,0
2006-09-15,28.419,28.493,28.369,28.409,4515,0,0
2006-09-18,28.428,28.489,28.351,28.409,5772,0,0
2006-09-19,28.416,28.462,28.379,28.433,6387,0,0
2006-09-20,28.434,28.487,28.375,28.432,6313,0,0
2006-09-21,28.435,28.463,28.349,28.421,6699,0,0
2006-09-22,28.422,28.49,28.384,28.475,6371,0,0
2006-09-25,28.438,28.481,28.38,28.439,6271,0,0
2006-09-26,28.446,28.462,28.371,28.382,6424,0,0
2006-09-27,28.379,28.415,28.33,28.349,6558,0,0
2006-09-28,28.351,28.424,28.275,28.287,6420,0,0
2006-09-29,28.287,28.359,28.251,28.266,6426,0,0
2006-10-02,28.319,28.376,28.222,28.255,5964,0,0
2006-10-03,28.254,28.278,28.152,28.222,6476,0,0
2006-10-04,28.219,28.275,28.187,28.191,6644,0,0
2006-10-05,28.194,28.245,28.09,28.109,6417,0,0
2006-10-06,28.108,28.221,28.082,28.193,6119,0,0
2006-10-09,28.196,28.226,28.119,28.144,5797,0,0
2006-10-10,28.145,28.197,28.101,28.163,6251,0,0
2006-10-11,28.166,28.223,28.115,28.209,6471,0,0
2006-10-12,28.197,28.325,28.172,28.222,6430,0,0
2006-10-13,28.22,28.256,28.192,28.228,6292,0,0
2006-10-16,28.229,28.327,28.215,28.293,6178,0,0
2006-10-17,28.296,28.342,28.258,28.277,6835,0,0
2006-10-18,28.275,28.365,28.235,28.283,6053,0,0
