date,open,high,low,close,tick_volume,spread,real_volume
2003-09-24,253.65,254.0,253.3,253.65,141,0,0
2003-09-25,253.95,254.3,253.6,253.95,141,0,0
2003-09-26,254.7,255.05,254.35,254.7,141,0,0
2003-09-29,253.92,254.27,253.57,253.92,141,0,0
2003-09-30,254.61,254.96,254.26,254.61,141,0,0
2003-10-01,253.96,254.31,253.61,253.96,141,0,0
2003-10-02,253.41,253.76,253.06,253.41,141,0,0
2003-10-03,253.68,254.03,253.33,253.68,141,0,0
2003-10-06,253.55,253.9,253.2,253.55,141,0,0
2003-10-07,253.85,254.2,253.5,253.85,141,0,0
2003-10-08,254.07,254.42,253.72,254.07,141,0,0
2003-10-09,253.47,253.82,253.12,253.47,141,0,0
2003-10-10,253.66,254.01,253.31,253.66,141,0,0
2003-10-13,255.38,255.73,255.03,255.38,141,0,0
2003-10-14,255.44,255.79,255.09,255.44,141,0,0
2003-10-15,256.32,256.67,255.97,256.32,141,0,0
2003-10-16,256.81,257.16,256.46,256.81,141,0,0
2003-10-17,257.06,257.41,256.71,257.06,141,0,0
2003-10-20,256.62,256.97,256.27,256.62,141,0,0
2003-10-21,255.97,256.32,255.62,255.97,141,0,0
2003-10-22,256.17,256.52,255.82,256.17,141,0,0
2003-10-27,257.87,258.22,257.52,257.87,141,0,0
2003-10-28,256.38,256.73,256.03,256.38,141,0,0
2003-10-29,255.83,256.18,255.48,255.83,141,0,0
2003-10-30,256.17,256.52,255.82,256.17,141,0,0
2003-10-31,259.13,259.48,258.78,259.13,141,0,0
2003-11-03,262.07,262.42,261.72,262.07,141,0,0
2003-11-04,260.42,260.77,260.07,260.42,141,0,0
2003-11-05,259.1,259.45,258.75,259.1,141,0,0
2003-11-06,258.62,258.97,258.27,258.62,141,0,0
2003-11-07,257.36,257.71,257.01,257.36,141,0,0
2003-11-10,257.05,257.4,256.7,257.05,141,0,0
2003-11-11,257.8,258.15,257.45,257.8,141,0,0
2003-11-12,258.88,259.23,258.53,258.88,141,0,0
2003-11-13,258.92,259.27,258.57,258.92,141,0,0
2003-11-14,258.07,258.42,257.72,258.07,141,0,0
2003-11-17,258.56,258.91,258.21,258.56,141,0,0
2003-11-18,257.06,257.41,256.71,257.06,141,0,0
2003-11-19,258.29,258.64,257.94,258.29,141,0,0
2003-11-20,258.19,258.54,257.84,258.19,141,0,0
2003-11-21,257.66,258.01,257.31,257.66,141,0,0
2003-11-24,258.2,258.55,257.85,258.2,141,0,0
2003-11-25,262.06,262.41,261.71,262.06,141,0,0
2003-11-26,261.87,262.22,261.52,261.87,141,0,0
2003-11-27,262.95,263.3,262.6,262.95,141,0,0
2003-11-28,265.03,265.38,264.68,265.03,141,0,0
2003-12-01,261.87,262.22,261.52,261.87,141,0,0
2003-12-02,272.03,272.38,271.68,272.03,141,0,0
2003-12-03,270.68,271.03,270.33,270.68,141,0,0
2003-12-04,269.93,270.28,269.58,269.93,141,0,0
2003-12-05,268.38,268.73,268.03,268.38,141,0,0
2003-12-08,268.3,268.65,267.95,268.3,141,0,0
2003-12-09,268.09,268.44,267.74,268.09,141,0,0
2003-12-10,264.5,264.85,264.15,264.5,141,0,0
2003-12-11,263.02,263.37,262.67,263.02,141,0,0
2003-12-12,262.92,263.27,262.57,262.92,141,0,0
