date,open,high,low,close,tick_volume,spread,real_volume
2014-12-22,69.396,69.484,66.105,68.492,7145,1760,0
2014-12-29,68.544,68.782,68.427,68.623,11,8000,0
2015-01-06,73.142,76.141,72.861,73.24,16767,6000,0
2015-01-08,72.805,73.505,69.622,70.493,23318,120,0
2015-01-09,71.501,72.959,70.469,72.119,25343,2030,0
2015-01-12,74.128,74.728,72.798,74.047,18031,6000,0
2015-01-13,76.776,78.091,75.852,77.011,20449,6000,0
2015-01-14,77.753,78.529,76.702,77.468,18256,4000,0
2015-01-15,76.63,77.065,73.859,74.742,24776,6000,0
2015-01-16,75.469,75.746,74.259,74.41,11344,6000,0
2015-01-19,74.809,75.249,73.997,75.098,10199,6000,0
2015-01-20,74.955,75.871,74.646,75.473,12609,6000,0
2015-01-21,75.496,76.489,74.874,75.284,13914,6000,0
2015-01-22,75.366,75.765,72.896,73.25,20130,1090,0
2015-01-23,71.587,72.218,70.813,71.583,17759,6000,0
2015-01-26,73.865,74.514,73.104,74.222,16132,1360,0
2015-01-27,76.359,76.821,75.991,76.373,25680,6000,0
2015-01-28,76.091,76.914,75.789,76.459,27048,6000,0
2015-01-29,77.56,78.31,77.345,78.011,25829,6000,0
2015-01-30,77.891,81.372,77.837,79.14,34247,6000,0
2015-02-02,78.829,79.582,76.956,77.655,37002,6000,0
2015-02-03,76.387,76.87,74.535,75.637,33305,6000,0
2015-02-04,74.988,77.409,74.739,77.126,32469,6000,0
2015-02-05,77.888,77.947,74.561,75.916,39702,6000,0
2015-02-06,75.08,76.761,74.808,75.706,30238,6000,0
2015-02-09,73.747,74.746,73.409,74.176,26443,6000,0
2015-02-10,73.87,74.962,73.486,74.794,15612,6000,0
2015-02-11,74.811,75.328,74.099,75.221,10218,6000,0
2015-02-12,74.682,75.233,72.837,74.742,20580,6000,0
2015-02-13,74.401,74.648,71.656,71.676,15216,6000,0
2015-02-16,71.024,72.07,70.3,71.713,8314,6000,0
2015-02-17,71.003,71.999,70.626,71.771,7551,6000,0
2015-02-18,70.714,71.136,69.256,69.363,6771,6000,0
2015-02-19,70.712,70.932,69.926,70.836,5716,6000,0
2015-02-20,69.764,70.304,69.373,70.201,4808,6000,0
2015-02-23,71.549,72.948,71.475,71.574,3442,6000,0
