date,open,high,low,close,tick_volume,spread,real_volume
2007-02-09,9.2968,9.362,9.2962,9.342600000000001,1035,0,0
2007-02-12,9.3399,9.4546,9.325,9.45,9689,0,0
2007-02-13,9.4505,9.4709,9.4119,9.4308,11169,0,0
2007-02-14,9.4325,9.4637,9.4103,9.4355,13842,0,0
2007-02-15,9.4366,9.4646,9.3811,9.4362,14676,0,0
2007-02-16,9.4358,9.4654,9.3794,9.3908,8330,0,0
2007-02-19,9.358,9.3711,9.3282,9.3461,6443,0,0
2007-02-20,9.3463,9.3782,9.3134,9.3535,8790,0,0
2007-02-21,9.3532,9.3824,9.2836,9.2836,10734,0,0
2007-02-22,9.2844,9.3378,9.2402,9.2685,10158,0,0
2007-02-23,9.2692,9.3219,9.2668,9.2975,4607,0,0
2007-02-26,9.3034,9.3587,9.2841,9.3275,6783,0,0
2007-02-27,9.322,9.6399,9.3021,9.6348,13765,0,0
2007-02-28,9.6332,9.6338,9.5052,9.5578,13654,0,0
2007-03-01,9.5582,9.7347,9.5256,9.5845,14458,0,0
2007-03-02,9.5844,9.7791,9.5513,9.7533,11325,0,0
2007-03-05,9.7706,9.905,9.7429,9.8097,16069,0,0
2007-03-06,9.8094,9.8184,9.6656,9.6799,12966,0,0
2007-03-07,9.6803,9.7968,9.6596,9.7851,10339,0,0
2007-03-08,9.7874,9.803,9.6442,9.6509,11266,0,0
2007-03-09,9.6505,9.7474,9.57,9.6112,9638,0,0
2007-03-12,9.5952,9.7052,9.5632,9.6776,9753,0,0
2007-03-13,9.677,9.9123,9.6446,9.8805,12375,0,0
2007-03-14,9.8812,9.9288,9.8036,9.8119,11611,0,0
2007-03-15,9.8122,9.8541,9.7777,9.8127,11026,0,0
2007-03-16,9.8122,9.9712,9.8,9.9648,12398,0,0
2007-03-18,9.9033,9.9033,9.8977,9.9011,88,0,0
2007-03-19,9.9019,9.9408,9.8382,9.8777,9818,0,0
2007-03-20,9.8784,9.8953,9.776,9.834,11896,0,0
2007-03-21,9.8339,9.8493,9.7145,9.7311,9860,0,0
2007-03-22,9.7307,9.7716,9.5474,9.595,13162,0,0
2007-03-23,9.5953,9.639,9.5597,9.5626,10461,0,0
2007-03-25,9.5662,9.5678,9.5562,9.5671,28,0,0
2007-03-26,9.5675,9.658,9.5458,9.6172,9533,0,0
2007-03-27,9.6176,9.7062,9.5954,9.7035,10590,0,0
2007-03-28,9.7028,9.869,9.6764,9.757,10598,0,0
2007-03-29,9.7573,9.7735,9.6615,9.6664,10260,0,0
2007-03-30,9.6649,9.791,9.6133,9.6877,11690,0,0
2007-04-02,9.6876,9.737400000000001,9.6583,9.6867,6507,0,0
2007-04-03,9.687,9.6917,9.555,9.5586,6071,0,0
