date,open,high,low,close,tick_volume,spread,real_volume
2003-01-06,6.1513,6.1742,6.1263,6.1535,937,0,0
2003-01-07,6.1416,6.1717,6.1263,6.1267,760,0,0
2003-01-08,6.1592,6.1898,6.1385,6.1492,927,0,0
2003-01-09,6.1772,6.2011,6.1429,6.1877,1060,0,0
2003-01-10,6.1456,6.1681,6.1112,6.1574,1021,0,0
2003-01-13,6.12,6.1322,6.1026,6.1253,540,0,0
2003-01-14,6.11,6.1278,6.0858,6.1163,778,0,0
2003-01-15,6.1017,6.1174,6.0843,6.1034,646,0,0
2003-01-16,6.1085,6.175,6.0631,6.0875,2029,0,0
2003-01-17,6.1857,6.2479,6.1364,6.1727,2101,0,0
2003-01-20,6.1651,6.1891,6.1175,6.1886,1198,0,0
2003-01-21,6.1775,6.289,6.1088,6.1346,3176,0,0
2003-01-22,6.2815,6.3347,6.2225,6.2872,2188,0,0
2003-01-23,6.3288,6.4158,6.2734,6.2971,2532,0,0
2003-01-24,6.3179,6.3629999999999995,6.2575,6.3333,1957,0,0
2003-01-27,6.2988,6.3172,6.2734,6.3057,808,0,0
2003-01-28,6.2799,6.313,6.2395,6.2873,1397,0,0
2003-01-29,6.2492,6.2842,6.2212,6.2422,1191,0,0
2003-01-30,6.2458,6.2876,6.216,6.2339,1314,0,0
2003-01-31,6.2847,6.3225999999999996,6.2641,6.2675,999,0,0
2003-02-03,6.285,6.3078,6.2668,6.2804,775,0,0
2003-02-04,6.2945,6.3242,6.2654,6.294,1172,0,0
2003-02-05,6.2993,6.3354,6.2781,6.2843,997,0,0
2003-02-06,6.309,6.351,6.2843,6.2917,1162,0,0
2003-02-07,6.3497,6.4986,6.2588,6.2916,4216,0,0
2003-02-10,6.2914,6.3081,6.2827,6.2833,428,0,0
2003-02-11,6.2789,6.3026,6.2387,6.2954,1114,0,0
2003-02-12,6.2392,6.2615,6.2164,6.2396,899,0,0
2003-02-13,6.2419,6.2707,6.2261,6.229,764,0,0
2003-02-14,6.2172,6.2528,6.161,6.2379,1630,0,0
2003-02-17,6.2615,6.3972,6.1766,6.2108,3906,0,0
2003-02-18,6.1805,6.2089,6.1436,6.1889,1223,0,0
2003-02-19,6.175,6.202,6.1568,6.1661,816,0,0
2003-02-20,6.1989,6.2363,6.1704,6.19,1230,0,0
2003-02-21,6.2195,6.3139,6.1547,6.1898,2888,0,0
2003-02-24,6.1563,6.1783,6.1343,6.1563,881,0,0
2003-02-25,6.147,6.1744,6.0983,6.1682,1311,0,0
2003-02-26,6.1211,6.1566,6.0957,6.1111,1119,0,0
2003-02-27,6.1439,6.1703,6.126,6.1353,801,0,0
2003-02-28,6.1652000000000005,6.1947,6.1451,6.1559,900,0,0
2003-03-03,6.192,6.248,6.1533,6.1746,1721,0,0
2003-03-04,6.2419,6.2995,6.2074,6.2189,1613,0,0
2003-03-05,6.2586,6.2981,6.2205,6.2573,1540,0,0
2003-03-06,6.2617,6.2835,6.2361,6.2655,911,0,0
2003-03-07,6.2627,6.3052,6.2265,6.2564,1512,0,0
2003-03-10,6.2851,6.3268,6.2448,6.2838,1628,0,0
2003-03-11,6.3414,6.3879,6.3095,6.3268,1423,0,0
2003-03-12,6.3753,6.455,6.3194,6.3516,2476,0,0
2003-03-13,6.4373000000000005,6.4757,6.3965,6.4398,1560,0,0
2003-03-14,6.3797,6.4122,6.3304,6.3965,1469,0,0
2003-03-17,6.3797,6.4591,6.3221,6.3579,2523,0,0
