date,open,high,low,close,tick_volume,spread,real_volume
2005-05-03,11.5465,11.5896,11.5055,11.5425,160,0,0
2005-05-04,11.575,11.6035,11.5165,11.5495,107,0,0
2005-05-05,11.3511,11.429,11.2893,11.3485,1593,0,0
2005-05-06,11.3409,11.5075,11.2605,11.3935,3220,0,0
2005-05-09,11.3963,11.597,11.25,11.5433,3360,0,0
2005-05-10,11.5417,11.708,11.4833,11.6055,3497,0,0
2005-05-11,11.6019,11.7035,11.517,11.619,3541,0,0
2005-05-12,11.6179,11.762,11.545,11.716,3411,0,0
2005-05-13,11.747,11.8161,11.6475,11.7255,2023,0,0
2005-05-16,11.7139,11.7633,11.6134,11.7175,3072,0,0
2005-05-17,11.7163,11.895199999999999,11.611,11.8105,3730,0,0
2005-05-18,11.8095,11.8492,11.699,11.7785,3888,0,0
2005-05-19,11.777,11.85,11.584,11.741,3669,0,0
2005-05-20,11.7246,11.9947,11.679,11.9205,3229,0,0
2005-05-23,11.9325,12.0524,11.8615,11.95,2847,0,0
2005-05-24,11.9507,12.0695,11.8516,12.003,3449,0,0
2005-05-25,12.0089,12.052,11.8236,11.8981,1822,0,0
2005-05-26,11.8959,12.1235,11.835,12.06,3285,0,0
2005-05-27,12.0659,12.1656,11.9204,11.9705,2921,0,0
2005-05-30,12.014,12.1626,11.9776,12.127,2032,0,0
2005-05-31,12.1304,12.4496,12.0364,12.3784,3973,0,0
2005-06-01,12.376,12.618500000000001,12.2965,12.464,3815,0,0
2005-06-02,12.4655,12.6088,12.3131,12.3689,4022,0,0
2005-06-03,12.3664,12.544599999999999,12.2735,12.401,3629,0,0
2005-06-06,12.392900000000001,12.456,12.137,12.243,3218,0,0
2005-06-07,12.2415,12.3165,12.0607,12.1744,3462,0,0
2005-06-08,12.1858,12.4225,12.0806,12.3647,3110,0,0
2005-06-09,12.3557,12.5135,12.2422,12.3191,3533,0,0
2005-06-10,12.321,12.3635,12.1799,12.218,3648,0,0
2005-06-13,12.2607,12.464,12.1565,12.3412,3469,0,0
2005-06-14,12.3194,12.434,12.2771,12.384,900,0,0
2005-06-15,12.4305,12.4892,12.278,12.3345,2442,0,0
2005-06-16,12.3356,12.43,12.1925,12.233,3613,0,0
2005-06-17,12.2302,12.3146,12.1722,12.2509,970,0,0
2005-06-20,12.1057,12.312,12.0782,12.2101,2695,0,0
2005-06-21,12.2053,12.3875,12.1778,12.275,3723,0,0
2005-06-22,12.276,12.3435,12.156,12.2324,3685,0,0
2005-06-23,12.2325,12.3855,12.1983,12.252,3436,0,0
2005-06-24,12.2537,12.3605,12.1173,12.211,3428,0,0
2005-06-27,12.2231,12.2585,12.0645,12.1196,3389,0,0
2005-06-28,12.1173,12.1802,12.023,12.0821,4084,0,0
2005-06-29,12.091,12.2955,11.9802,12.0366,5506,0,0
2005-06-30,12.0386,12.1435,11.8615,11.9125,3664,0,0
2005-07-01,11.9115,12.166,11.8405,12.11,3916,0,0
2005-07-04,12.0965,12.14,11.9519,12.015,3100,0,0
2005-07-05,12.0276,12.1414,11.9311,12.0171,3533,0,0
2005-07-06,12.0315,12.1273,11.8915,12.044,3487,0,0
2005-07-07,12.0444,12.097,11.803,11.9738,3995,0,0
2005-07-08,11.9682,12.1205,11.8565,11.929,3656,0,0
2005-07-11,11.958,12.0078,11.687,11.7295,2737,0,0
2005-07-12,11.7325,11.859,11.5427,11.5974,3962,0,0
2005-07-13,11.603,11.7845,11.464,11.7505,3664,0,0
2005-07-14,11.7571,11.8444,11.55,11.6244,3354,0,0
2005-07-15,11.6305,11.7245,11.555,11.6065,3452,0,0
