date,open,high,low,close,tick_volume,spread,real_volume
2003-01-28,1.2344,1.2388,1.23,1.2345,176,0,0
2003-01-29,1.2375,1.2434,1.2321,1.2368999999999999,221,0,0
2003-01-30,1.2343,1.2412,1.2284,1.2332,246,0,0
2003-01-31,1.2364,1.2418,1.2332,1.2343,152,0,0
2003-02-03,1.2363,1.2432,1.2291,1.2367,279,0,0
2003-02-04,1.2322,1.2393,1.227,1.2304,229,0,0
2003-02-05,1.2272,1.2327,1.2215,1.2274,223,0,0
2003-02-06,1.2262,1.2302,1.221,1.2274,173,0,0
2003-02-07,1.2245,1.2283,1.221,1.2242,144,0,0
2003-02-10,1.2243,1.2301,1.2203,1.2224,178,0,0
2003-02-11,1.2273,1.2311,1.2234,1.2275,153,0,0
2003-02-12,1.2254,1.2293,1.2197,1.2273,174,0,0
2003-02-13,1.2204,1.233,1.2066,1.2216,517,0,0
2003-02-14,1.2109,1.2158,1.2067,1.2101,175,0,0
2003-02-17,1.2119,1.216,1.2081,1.2115,155,0,0
2003-02-18,1.2109,1.216,1.2075,1.2091,153,0,0
2003-02-19,1.212,1.2154,1.2072,1.2135,150,0,0
2003-02-20,1.2098,1.2168,1.204,1.2086999999999999,246,0,0
2003-02-21,1.2131,1.2178,1.2068,1.2146,206,0,0
2003-02-24,1.207,1.2112,1.2006000000000001,1.2093,190,0,0
2003-02-25,1.1989,1.2035,1.1925,1.2006000000000001,204,0,0
2003-02-26,1.1937,1.1978,1.1876,1.1958,184,0,0
2003-02-27,1.1818,1.1889,1.1687,1.1877,346,0,0
2003-02-28,1.1804999999999999,1.1898,1.1735,1.1781,303,0,0
2003-03-03,1.1878,1.1933,1.1828,1.1873,206,0,0
2003-03-04,1.1838,1.1877,1.178,1.1857,176,0,0
2003-03-05,1.184,1.1944,1.1787,1.1789,264,0,0
2003-03-06,1.1829,1.1937,1.1681,1.187,472,0,0
2003-03-07,1.168,1.1776,1.1549,1.1714,421,0,0
2003-03-10,1.1614,1.1675,1.1574,1.1592,181,0,0
2003-03-11,1.1659,1.179,1.1543,1.1643,479,0,0
2003-03-12,1.1769,1.1841,1.1701,1.1766,278,0,0
2003-03-13,1.1853,1.1908,1.1813,1.1837,175,0,0
2003-03-14,1.1834,1.1878,1.1769,1.1855,198,0,0
2003-03-17,1.183,1.1883,1.1766,1.1842,223,0,0
2003-03-18,1.1753,1.1826,1.1649,1.1783,325,0,0
2003-03-19,1.1654,1.1709,1.1588,1.1665,232,0,0
2003-03-20,1.1636,1.1687,1.1574,1.1648,215,0,0
2003-03-21,1.1654,1.1692,1.1612,1.1657,158,0,0
