date,open,high,low,close,tick_volume,spread,real_volume
2007-08-20,1.0499,1.0726,1.0421,1.069,10830,150,0
2007-08-21,1.0691,1.0717,1.0565,1.0622,8373,150,0
2007-08-22,1.0619,1.0796000000000001,1.0555,1.0787,4874,150,0
2007-08-23,1.0779,1.0924,1.0779,1.0818,5021,150,0
2007-08-24,1.0819,1.0975,1.0803,1.0966,4228,150,0
2007-08-27,1.1034,1.1057,1.0855,1.0871,3747,150,0
2007-08-28,1.0872,1.0898,1.061,1.0649,4694,150,0
2007-08-29,1.065,1.0808,1.05,1.0716,5097,150,0
2007-08-30,1.071,1.0783,1.0648,1.0707,4353,150,0
2007-08-31,1.0702,1.0809,1.0657,1.0705,4352,150,0
2007-09-03,1.0739,1.0754,1.0679,1.07,3120,150,0
2007-09-04,1.0699,1.0733,1.0587,1.063,4385,150,0
2007-09-05,1.0622,1.064,1.0454,1.0504,5081,150,0
2007-09-06,1.0502,1.0589,1.0441,1.0556,4309,150,0
2007-09-07,1.0552,1.0577,1.0454,1.0546,3179,150,0
2007-09-10,1.0453,1.0649,1.0417,1.0587,7852,150,0
2007-09-11,1.0586,1.0741,1.0541,1.073,4046,150,0
2007-09-12,1.0731,1.0831,1.0687,1.0749,4455,150,0
2007-09-13,1.075,1.0849,1.0683,1.0714,7352,150,0
2007-09-14,1.0712,1.0817,1.0708,1.0785,5306,150,0
2007-09-17,1.077,1.0829,1.0642,1.0719,6683,150,0
2007-09-18,1.072,1.0984,1.0628,1.0925,8373,150,0
2007-09-19,1.0924,1.1107,1.0898,1.1078999999999999,9945,150,0
2007-09-20,1.108,1.1193,1.103,1.1146,7792,150,0
2007-09-21,1.1149,1.1224,1.1126,1.1195,7208,150,0
2007-09-24,1.1197,1.1222,1.1136,1.1189,4900,150,0
2007-09-25,1.1164,1.1184,1.0964,1.1157,9493,150,0
2007-09-26,1.1155,1.1179999999999999,1.107,1.1137,6208,150,0
2007-09-27,1.1139000000000001,1.1234,1.1112,1.1219,7785,150,0
2007-09-28,1.1218,1.1287,1.1198,1.125,8293,150,0
2007-10-01,1.1279,1.1334,1.1214,1.1308,8004,150,0
2007-10-02,1.1309,1.1317,1.1171,1.1219,9612,150,0
2007-10-03,1.1218,1.1315,1.1123,1.1152,9224,150,0
2007-10-04,1.1153,1.1201,1.1116,1.1185,8349,150,0
2007-10-05,1.1187,1.124,1.1113,1.1193,6075,150,0
2007-10-08,1.1226,1.1293,1.12,1.1232,3488,150,0
2007-10-09,1.1231,1.1271,1.1179000000000001,1.1241,3218,150,0
2007-10-10,1.1239,1.1256,1.1139000000000001,1.1177,1304,150,0
2007-10-11,1.1178,1.1320999999999999,1.1172,1.1293,1361,150,0
2007-10-12,1.129,1.1360999999999999,1.1237,1.1358,1257,150,0
2007-10-15,1.1294,1.1339,1.1129,1.1182,1258,150,0
2007-10-16,1.1183,1.1195,1.0854,1.0977,1484,150,0
2007-10-17,1.0976,1.1039,1.0882,1.0987,1295,150,0
2007-10-18,1.0993,1.1028,1.0896,1.1002,1388,150,0
2007-10-19,1.1003,1.1042,1.0874,1.0927,1256,150,0
2007-10-22,1.0863,1.0962,1.0808,1.0962,1291,150,0
2007-10-23,1.0949,1.1081,1.0929,1.1066,1283,150,0
2007-10-24,1.1065,1.1088,1.0951,1.104,1375,150,0
