date,open,high,low,close,tick_volume,spread,real_volume
2007-08-20,75.08,75.26,75.05,75.13,190,60,0
2007-08-21,75.12,75.55,74.38,74.5,10249,60,0
2007-08-22,74.49,75.83,74.46,75.82,5831,60,0
2007-08-23,75.81,77.01,75.79,76.26,6766,60,0
2007-08-24,76.25,76.61,75.69,76.59,5946,60,0
2007-08-27,76.79,76.83,75.8,75.91,4734,60,0
2007-08-28,75.92,76.07,74.62,74.75,6058,60,0
2007-08-29,74.77,76.43,74.43,76.19,7325,60,0
2007-08-30,76.18,76.21,75.53,76.13,6551,60,0
2007-08-31,76.1,76.61,75.76,75.9,6135,60,0
2007-09-03,75.96,76.27,75.85,76.02,3986,60,0
2007-09-04,76.0,76.31,75.49,76.22,5564,60,0
2007-09-05,76.21,76.42,75.29,75.4,6401,60,0
2007-09-06,75.41,75.82,75.13,75.71,6073,60,0
2007-09-07,75.69,75.9,74.2,74.33,5218,60,0
2007-09-10,73.96,74.8,73.77,74.52,8605,60,0
2007-09-11,74.48,75.31,74.39,75.22,5982,60,0
2007-09-12,75.25,75.57,75.03,75.43,5540,60,0
2007-09-13,75.42,76.53,75.4,75.76,8499,60,0
2007-09-14,75.78,76.38,75.61,76.26,7957,60,0
2007-09-17,76.15,76.33,75.61,75.74,6937,60,0
2007-09-18,75.73,77.07,75.58,76.76,9117,60,0
2007-09-19,76.75,77.16,76.63,76.94,9476,60,0
2007-09-20,76.93,77.01,75.92,76.17,9627,60,0
2007-09-21,76.18,76.93,76.17,76.71,8822,60,0
2007-09-24,76.62,76.79,76.4,76.61,5438,60,0
2007-09-25,76.62,76.64,75.92,76.45,7715,60,0
2007-09-26,76.46,77.29,76.37,77.05,8041,60,0
2007-09-27,77.06,77.7,77.02,77.52,8477,60,0
2007-09-28,77.51,77.74,77.13,77.26,9366,60,0
2007-10-01,77.26,78.57,77.18,78.39,8986,60,0
2007-10-02,78.38,78.44,77.74,78.02,8425,60,0
2007-10-03,78.03,78.97,77.89,78.62,7707,60,0
2007-10-04,78.61,78.8,78.35,78.61,7344,60,0
2007-10-05,78.6,79.46,78.55,79.44,5767,60,0
2007-10-08,79.43,79.9,79.43,79.6,3032,60,0
2007-10-09,79.61,79.69,79.28,79.6,3826,60,0
2007-10-10,79.61,80.2,79.49,79.85,1973,60,0
2007-10-11,79.86,80.54,79.77,80.14,1959,60,0
2007-10-12,80.16,80.4,79.92,80.35,1764,60,0
2007-10-15,80.35,80.57,79.86,80.03,1894,60,0
2007-10-16,80.01,80.14,79.26,79.6,2243,60,0
2007-10-17,79.61,80.04,79.05,79.42,2248,60,0
2007-10-18,79.43,79.73,78.97,79.01,2068,60,0
2007-10-19,79.02,79.14,78.24,78.25,2186,60,0
2007-10-22,77.79,78.31,77.33,78.13,2580,60,0
2007-10-23,78.14,78.56,77.9,78.49,2139,60,0
2007-10-24,78.48,78.57,77.75,78.13,2389,60,0
2007-10-25,78.12,78.63,77.97,78.31,2004,60,0
2007-10-26,78.3,78.71,78.24,78.6,1806,60,0
2007-10-29,78.57,79.14,78.48,78.94,1675,60,0
2007-10-30,78.95,79.22,78.73,79.15,1660,60,0
2007-10-31,79.14,79.74,79.03,79.64,1853,60,0
2007-11-01,79.65,80.04,78.77,78.84,2187,60,0
