date,open,high,low,close,tick_volume,spread,real_volume
2004-02-23,26.013,26.127,25.753,25.965,9139,0,0
2004-02-24,25.963,26.087,25.539,25.668,13102,0,0
2004-02-25,25.67,26.029,25.531,25.904,12563,0,0
2004-02-26,25.903,26.218,25.814,26.06,13893,0,0
2004-02-27,26.059,26.303,25.914,26.063,11323,0,0
2004-03-01,26.066,26.232,25.9,26.095,11558,0,0
2004-03-02,26.094,27.057,26.004,26.893,13425,0,0
2004-03-03,26.896,27.353,26.814,26.947,15459,0,0
2004-03-04,26.95,27.351,26.8,27.144,14477,0,0
2004-03-05,27.142,27.278,26.454,26.598,13114,0,0
2004-03-08,26.564,26.894,26.431,26.568,12033,0,0
2004-03-09,26.569,27.014,26.412,26.819,12622,0,0
2004-03-10,26.818,27.257,26.757,27.126,13495,0,0
2004-03-11,27.133,27.314,26.661,26.786,16115,0,0
2004-03-12,26.785,27.267,26.683,27.082,14249,0,0
2004-03-15,26.999,27.2,26.79,27.01,11851,0,0
2004-03-16,27.009,27.23,26.738,27.074,14747,0,0
2004-03-17,27.075,27.322,26.967,27.09,13075,0,0
2004-03-18,27.095,27.188,26.585,26.736,14647,0,0
2004-03-19,26.744,27.148,26.656,26.995,12675,0,0
2004-03-22,26.235,27.162,26.156,26.871,11246,0,0
2004-03-23,26.877,27.084,26.642,26.729,12069,0,0
2004-03-24,26.73,27.03,26.576,26.93,15208,0,0
2004-03-25,26.929,27.111,26.734,26.945,14879,0,0
2004-03-26,26.953,27.215,26.721,27.045,13309,0,0
2004-03-29,27.012,27.282,26.898,27.079,11763,0,0
2004-03-30,27.08,27.168,26.895,27.091,12077,0,0
2004-03-31,27.09,27.176,26.6,26.661,14244,0,0
2004-04-01,26.66,26.902,26.388,26.474,14363,0,0
2004-04-02,26.472,27.241,26.4,27.101,10825,0,0
2004-04-05,27.521,27.581,26.924,27.167,11067,0,0
2004-04-06,27.166,27.308,26.836,26.9,12412,0,0
2004-04-07,26.901,27.191,26.791,26.906,12174,0,0
2004-04-08,26.902,27.062,26.693,26.954,11906,0,0
2004-04-09,26.956,27.036,26.207,26.83,2011,0,0
2004-04-12,26.839,26.971,26.713,26.78,5655,0,0
2004-04-13,26.769,27.107,26.697,26.879,8912,0,0
2004-04-14,26.875,27.208,26.778,26.925,11778,0,0
2004-04-15,26.924,27.287,26.806,27.03,14780,0,0
2004-04-16,27.027,27.276,26.85,27.06,12151,0,0
2004-04-19,27.042,27.175,26.86,27.065,10843,0,0
2004-04-20,27.064,27.495,27.004,27.388,14360,0,0
2004-04-21,27.393,27.614,27.191,27.422,11181,0,0
2004-04-22,27.42,27.624,27.118,27.201,7155,0,0
2004-04-23,27.196,27.423,27.026,27.277,11004,0,0
2004-04-26,27.433,27.572,27.191,27.398,10583,0,0
2004-04-27,27.399,27.518,27.184,27.288,11848,0,0
2004-04-28,27.287,27.802,27.162,27.576999999999998,11793,0,0
2004-04-29,27.58,27.789,27.022,27.159,9695,0,0
2004-04-30,27.158,27.402,27.018,27.168,11057,0,0
2004-05-03,27.216,27.495,26.978,27.22,4650,0,0
2004-05-04,27.221,27.331,26.527,26.626,11579,0,0
2004-05-05,26.625,26.709,26.348,26.437,11899,0,0
2004-05-06,26.438,26.715,26.345,26.608,12004,0,0
2004-05-07,26.609,27.192,26.473,27.106,11703,0,0
2004-05-10,27.086,27.331,26.956,27.05,11432,0,0
2004-05-11,27.051,27.378,26.854,27.12,12048,0,0
2004-05-12,27.119,27.272,26.807,26.942,12454,0,0
2004-05-13,26.943,27.171,26.818,27.012,12952,0,0
2004-05-14,27.01,27.164,26.792,26.906,11622,0,0
2004-05-17,26.236,26.895,26.176,26.437,13919,0,0
2004-05-18,26.438,26.77,26.369,26.63,12711,0,0
2004-05-19,26.632,26.721,26.342,26.574,11263,0,0
2004-05-20,26.572,26.897,26.469,26.625,7665,0,0
2004-05-21,26.629,26.722,26.279,26.496,10906,0,0
2004-05-24,26.535,26.71,26.332,26.442,9227,0,0
2004-05-25,26.443,26.541,26.011,26.112,10880,0,0
2004-05-26,26.113,26.362,26.021,26.245,4144,0,0
2004-05-27,26.242,26.34,25.85,25.987,9996,0,0
2004-05-28,25.986,26.062,25.766,25.948,9980,0,0
2004-05-31,25.969,26.136,25.812,25.99,2231,0,0
2004-06-01,25.993,26.119,25.613,25.683,10996,0,0
2004-06-02,25.685,25.828,25.494,25.705,10910,0,0
2004-06-03,25.706,25.871,25.5,25.592,11907,0,0
2004-06-04,25.59,25.873,25.423,25.501,10110,0,0
2004-06-07,25.52,25.588,25.237,25.338,7824,0,0
2004-06-08,25.34,25.618,24.285,25.513,9834,0,0
2004-06-09,25.521,26.244,25.443,26.104,13135,0,0
2004-06-10,26.103,26.217,25.796,25.879,8372,0,0
2004-06-11,25.878,26.287,25.805,26.165,9774,0,0
2004-06-14,26.139,26.403,25.997,26.143,10157,0,0
2004-06-15,26.148,26.433,25.992,26.194,11635,0,0
2004-06-16,26.193,26.576,26.11,26.452,11874,0,0
2004-06-17,26.45,26.56,26.235,26.362,11351,0,0
2004-06-18,26.361,26.613,26.151,26.225,10518,0,0
2004-06-21,26.143,26.472,26.064,26.343,7741,0,0
2004-06-22,26.341,26.54,26.242,26.343,10351,0,0
2004-06-23,26.341,26.492,26.089,26.328,9593,0,0
2004-06-24,26.327,26.54,25.854,25.944,5216,0,0
2004-06-25,25.945,26.22,25.859,26.086,4187,0,0
2004-06-28,25.966,26.442,25.898,26.18,4059,0,0
2004-06-29,26.176,26.495,26.099,26.349,4835,0,0
2004-06-30,26.27,26.488,26.024,26.154,4709,0,0
2004-07-01,26.155,26.363,26.052,26.182,4632,0,0
2004-07-02,26.184,26.364,25.719,25.791,4646,0,0
2004-07-05,25.791,26.006,25.688,25.857,2089,0,0
2004-07-06,25.856,25.974,25.705,25.857,4041,0,0
2004-07-07,25.859,25.962,25.321,25.422,4012,0,0
2004-07-08,25.424,25.559,25.296,25.429,3115,0,0
2004-07-09,25.428,25.559,25.242,25.377,2841,0,0
2004-07-12,25.38,25.498,25.224,25.346,2373,0,0
2004-07-13,25.347,25.669,25.285,25.509,4412,0,0
2004-07-14,25.512,25.606,25.267,25.377,3579,0,0
2004-07-15,25.375,25.551,25.281,25.431,3271,0,0
2004-07-16,25.43,25.546,24.941,25.087,3058,0,0
2004-07-19,25.088,25.232,24.983,25.058,1494,0,0
2004-07-20,25.054,25.589,24.971,25.473,2953,0,0
2004-07-21,25.471,25.832,25.318,25.682,3969,0,0
2004-07-22,25.684,25.791,25.526,25.687,4058,0,0
2004-07-23,25.689,26.246,25.605,26.186,3675,0,0
2004-07-26,26.186,26.246,25.848,26.056,3634,0,0
2004-07-27,26.054,26.43,25.893,26.316,4178,0,0
2004-07-28,26.315,26.487,26.148,26.28,8863,0,0
2004-07-29,26.277,26.562,26.15,26.39,10751,0,0
2004-07-30,26.392,26.495,26.082,26.33,10048,0,0
2004-08-02,26.312,26.46,26.086,26.317,7621,0,0
2004-08-03,26.318,26.479,26.228,26.355,8923,0,0
2004-08-04,26.357,26.618,26.165,26.346,8608,0,0
2004-08-05,26.342,26.448,26.207,26.357,6465,0,0
2004-08-06,26.355,26.435,25.598,25.661,9372,0,0
