date,open,high,low,close,tick_volume,spread,real_volume
2006-02-06,6.6737,6.7424,6.6737,6.7187,9540,0,0
2006-02-07,6.719,6.7369,6.6917,6.6952,11104,0,0
2006-02-08,6.6949,6.7377,6.6802,6.7096,10812,0,0
2006-02-09,6.7093,6.7096,6.6835,6.6974,10021,0,0
2006-02-10,6.6977,6.8011,6.674,6.7929,13584,0,0
2006-02-13,6.7973,6.8292,6.79,6.8084,9755,0,0
2006-02-14,6.809,6.8606,6.7951,6.8283000000000005,10627,0,0
2006-02-15,6.828,6.8584,6.8027,6.8354,11161,0,0
2006-02-16,6.8351,6.8546,6.7741,6.7753,10244,0,0
2006-02-17,6.7755,6.8007,6.7436,6.7575,13271,0,0
2006-02-20,6.7614,6.7676,6.7307,6.7369,7297,0,0
2006-02-21,6.7372,6.7713,6.7363,6.7481,9276,0,0
2006-02-22,6.7475000000000005,6.7957,6.7414,6.7677,9732,0,0
2006-02-23,6.7674,6.7742,6.7199,6.7414,11474,0,0
2006-02-24,6.7411,6.7859,6.7326,6.7752,10885,0,0
2006-02-27,6.7834,6.8021,6.7619,6.7818000000000005,10778,0,0
2006-02-28,6.7824,6.7947,6.7267,6.7415,10695,0,0
2006-03-01,6.7417,6.7463999999999995,6.6899,6.7237,12585,0,0
2006-03-02,6.7234,6.7306,6.6666,6.6722,11555,0,0
2006-03-03,6.6725,6.6787,6.6352,6.6375,13106,0,0
2006-03-06,6.6350999999999996,6.649,6.6132,6.6383,11664,0,0
2006-03-07,6.6386,6.7316,6.6303,6.7149,13866,0,0
2006-03-08,6.7146,6.742,6.7013,6.7243,10966,0,0
2006-03-09,6.724,6.7466,6.7025,6.7408,11413,0,0
2006-03-10,6.7414,6.7497,6.6742,6.6952,10882,0,0
2006-03-13,6.6932,6.6941,6.6513,6.6583,9382,0,0
2006-03-14,6.6585,6.6622,6.6106,6.6282,11485,0,0
2006-03-15,6.6279,6.639,6.5957,6.615,11361,0,0
2006-03-16,6.6158,6.6312,6.5562000000000005,6.576,13077,0,0
2006-03-17,6.5758,6.5962,6.5306,6.5405999999999995,12102,0,0
2006-03-20,6.5461,6.5567,6.5199,6.5359,10629,0,0
2006-03-21,6.5356,6.5832,6.5322,6.5585,13152,0,0
2006-03-22,6.5588,6.5852,6.5563,6.5793,10795,0,0
2006-03-23,6.5796,6.6733,6.5775,6.6682,11226,0,0
2006-03-24,6.6685,6.6711,6.6162,6.6248000000000005,10030,0,0
2006-03-27,6.621,6.6402,6.6045,6.6105,8410,0,0
2006-03-28,6.6113,6.6190999999999995,6.5532,6.6142,13564,0,0
2006-03-29,6.6144,6.6498,6.6028,6.6345,11396,0,0
2006-03-30,6.6348,6.6385,6.543,6.5495,13834,0,0
2006-03-31,6.5502,6.5943000000000005,6.5434,6.5511,13317,0,0
2006-04-03,6.55,6.5942,6.4753,6.4824,14076,0,0
2006-04-04,6.4822,6.4982,6.4106,6.4184,14650,0,0
2006-04-05,6.4182,6.446,6.4026,6.4174,13259,0,0
2006-04-06,6.4176,6.4686,6.3894,6.461,13796,0,0
2006-04-07,6.4612,6.5071,6.4403,6.5043,13992,0,0
2006-04-11,6.471,6.4882,6.433,6.4481,11270,0,0
2006-04-12,6.4488,6.4916,6.4294,6.4887,10600,0,0
2006-04-13,6.489,6.504,6.4725,6.4882,10372,0,0
2006-04-14,6.4885,6.5022,6.4818,6.498,4377,0,0
2006-04-17,6.4907,6.4915,6.3966,6.4251,9756,0,0
2006-04-18,6.4254,6.4342,6.3547,6.3604,13531,0,0
2006-04-19,6.3602,6.3649000000000004,6.2821,6.2893,14974,0,0
2006-04-20,6.2913,6.3484,6.2872,6.3452,12917,0,0
2006-04-21,6.3456,6.3715,6.3124,6.3564,11651,0,0
2006-04-24,6.3368,6.3638,6.3142,6.339,12780,0,0
2006-04-25,6.3387,6.3494,6.3001,6.3099,13175,0,0
2006-04-26,6.3102,6.3216,6.2451,6.2633,13871,0,0
2006-04-27,6.2636,6.2846,6.1981,6.2106,12433,0,0
2006-04-28,6.2103,6.2141,6.1467,6.1476,14289,0,0
2006-05-01,6.1545,6.1965,6.1298,6.1902,10261,0,0
2006-05-02,6.1899,6.2134,6.128,6.16,13632,0,0
2006-05-03,6.1603,6.1631,6.1154,6.133,13535,0,0
2006-05-04,6.1332,6.1611,6.0984,6.1081,14044,0,0
2006-05-05,6.1079,6.1322,6.08,6.1187,8956,0,0
2006-05-08,6.1188,6.1434,6.078,6.1277,9111,0,0
2006-05-09,6.1275,6.1597,6.0848,6.085,10308,0,0
2006-05-10,6.0853,6.0949,6.0453,6.0664,10029,0,0
2006-05-11,6.0661,6.1218,6.0174,6.0462,9259,0,0
2006-05-12,6.0454,6.0476,5.9857,5.9857,8284,0,0
2006-05-15,5.9853,6.0937,5.9696,6.0866,8170,0,0
2006-05-16,6.0867,6.1366,6.0649,6.095,9355,0,0
2006-05-17,6.0954,6.1538,6.0469,6.1366,8674,0,0
2006-05-18,6.1368,6.1457,6.0593,6.0697,8354,0,0
2006-05-19,6.0692,6.1411,6.0662,6.0994,14347,0,0
2006-05-22,6.1035,6.1422,6.0602,6.0806000000000004,15573,0,0
2006-05-23,6.0804,6.1328,6.0637,6.1314,15542,0,0
2006-05-24,6.1306,6.1427,6.0651,6.119,18354,0,0
2006-05-25,6.1193,6.13,6.0942,6.0942,13996,0,0
2006-05-26,6.0947,6.1592,6.0876,6.1401,14235,0,0
2006-05-29,6.1399,6.1508,6.1184,6.1294,6099,0,0
2006-05-30,6.1289,6.1308,6.0583,6.0743,12751,0,0
2006-05-31,6.0744,6.0986,6.0559,6.0795,11166,0,0
2006-06-01,6.08,6.1146,6.0688,6.0736,9937,0,0
2006-06-02,6.0743,6.0819,6.008,6.0149,10571,0,0
2006-06-05,6.0128,6.0144,5.9796,6.0116,9265,0,0
2006-06-06,6.0131,6.0692,5.9979,6.0587,9044,0,0
2006-06-07,6.0583,6.1261,6.0575,6.1012,9799,0,0
2006-06-08,6.1007,6.2022,6.099,6.1905,8488,0,0
2006-06-09,6.19,6.2029,6.146,6.1716,8154,0,0
2006-06-12,6.1753,6.1957,6.1503,6.1845,8518,0,0
2006-06-13,6.1848,6.2456,6.1762,6.2339,10099,0,0
2006-06-14,6.234,6.2599,6.204,6.2303,8254,0,0
2006-06-15,6.2305,6.2379,6.1877,6.199,10229,0,0
2006-06-16,6.1988,6.2282,6.1877,6.2023,8888,0,0
2006-06-19,6.2045,6.2616,6.1997,6.2449,10745,0,0
2006-06-20,6.2444,6.2935,6.2399000000000004,6.2751,9267,0,0
2006-06-21,6.2753,6.2925,6.2497,6.2717,7367,0,0
2006-06-22,6.2713,6.3411,6.257,6.3261,8998,0,0
2006-06-23,6.3256,6.3429,6.303,6.3279,9243,0,0
2006-06-26,6.3274,6.3306000000000004,6.285,6.2929,9704,0,0
2006-06-27,6.2923,6.325,6.2764,6.3,10374,0,0
2006-06-28,6.3006,6.3139,6.2782,6.289,8355,0,0
2006-06-29,6.2883,6.3234,6.2511,6.2522,9672,0,0
2006-06-30,6.2521,6.256,6.2134,6.219,9845,0,0
2006-07-03,6.2213,6.2541,6.2085,6.2382,9261,0,0
2006-07-04,6.2378,6.2388,6.2173,6.2308,10643,0,0
2006-07-05,6.2309,6.2587,6.1945,6.2402,8369,0,0
2006-07-06,6.24,6.2467,6.2103,6.2231,9737,0,0
2006-07-07,6.2229,6.2299,6.1796,6.2109,8364,0,0
2006-07-10,6.217,6.2852,6.2095,6.2711,9893,0,0
2006-07-11,6.2718,6.288,6.2437,6.248,9543,0,0
2006-07-12,6.2488,6.2745,6.2305,6.2669,10767,0,0
2006-07-13,6.2651,6.2654,6.2264,6.2292,9510,0,0
2006-07-14,6.2291,6.2676,6.2244,6.2484,11620,0,0
2006-07-17,6.254,6.3299,6.2418,6.3229,9332,0,0
2006-07-18,6.3228,6.3559,6.3105,6.3497,9298,0,0
2006-07-19,6.3485,6.395,6.3183,6.325,11501,0,0
2006-07-20,6.3249,6.3294,6.2677,6.2822,11186,0,0
2006-07-21,6.282,6.2853,6.2417,6.2451,9047,0,0
2006-07-24,6.2397,6.3107,6.236,6.2943,10561,0,0
2006-07-25,6.2953,6.3291,6.2594,6.3212,9110,0,0
2006-07-26,6.3214,6.3276,6.2276,6.2336,9109,0,0
2006-07-27,6.2331,6.237,6.1786,6.2125,8132,0,0
2006-07-28,6.2124,6.2247,6.1714,6.1811,9192,0,0
2006-07-31,6.1825,6.1893,6.149,6.157,8397,0,0
2006-08-01,6.1585,6.1825,6.1334,6.1371,7212,0,0
2006-08-02,6.1382,6.1651,6.128,6.1571,6696,0,0
2006-08-03,6.1559,6.1788,6.1309,6.1448,7982,0,0
2006-08-04,6.1445,6.1664,6.098,6.1203,8048,0,0
2006-08-07,6.1202,6.1556,6.112,6.1545,7578,0,0
2006-08-08,6.1528,6.1745,6.1364,6.1739,11139,0,0
2006-08-09,6.1736,6.2033,6.1427,6.1756,8689,0,0
2006-08-10,6.1751,6.2367,6.1428,6.2141,9340,0,0
2006-08-11,6.2142,6.2691,6.2089,6.268,9302,0,0
2006-08-14,6.2679,6.3154,6.2481,6.3012,7919,0,0
2006-08-15,6.3011,6.3185,6.2537,6.267,7748,0,0
2006-08-16,6.2673,6.2859,6.2309,6.2796,7651,0,0
2006-08-17,6.2798,6.3128,6.2597,6.2927,9297,0,0
2006-08-18,6.2921,6.3139,6.2825,6.2901,7026,0,0
2006-08-21,6.2865,6.2879,6.2144,6.2353,6922,0,0
2006-08-22,6.2351,6.2911,6.2343,6.279,7843,0,0
2006-08-23,6.2789,6.2983,6.2525,6.2916,8092,0,0
2006-08-24,6.2911,6.3502,6.2863,6.3437,8226,0,0
2006-08-25,6.3435,6.3549,6.2925,6.3041,7840,0,0
2006-08-28,6.3055,6.3062000000000005,6.258,6.2881,5608,0,0
2006-08-29,6.2879,6.3225,6.2605,6.2867,6043,0,0
2006-08-30,6.2872,6.3224,6.2717,6.3123000000000005,6655,0,0
2006-08-31,6.3133,6.3306000000000004,6.2721,6.3209,6210,0,0
2006-09-01,6.3203,6.3501,6.303,6.3345,7224,0,0
2006-09-04,6.3382,6.3382,6.3112,6.3294,4846,0,0
2006-09-05,6.329,6.3552,6.3221,6.3502,6279,0,0
2006-09-06,6.3494,6.4009,6.3395,6.3867,6956,0,0
2006-09-07,6.3864,6.4963,6.3775,6.4893,9952,0,0
2006-09-08,6.4891,6.5142,6.4602,6.5074,9672,0,0
2006-09-11,6.511,6.5622,6.4973,6.5374,7699,0,0
2006-09-12,6.5365,6.5582,6.503,6.553,8719,0,0
2006-09-13,6.5542,6.6192,6.5402000000000005,6.5889,9298,0,0
2006-09-14,6.5895,6.6146,6.5107,6.5153,7365,0,0
2006-09-15,6.5184,6.5597,6.5073,6.5295,6599,0,0
2006-09-18,6.5432,6.5724,6.5134,6.5426,7560,0,0
2006-09-19,6.5429,6.546,6.479,6.5267,8882,0,0
2006-09-20,6.5277,6.5422,6.5078,6.5355,8108,0,0
2006-09-21,6.5356,6.5388,6.4958,6.5351,6161,0,0
2006-09-22,6.538,6.5565999999999995,6.4938,6.5487,2935,0,0
2006-09-26,6.5254,6.5691,6.5105,6.5455,3077,0,0
2006-09-27,6.5445,6.5471,6.4852,6.4918,2426,0,0
2006-09-28,6.4896,6.4929,6.4533,6.4637,1684,0,0
2006-09-29,6.4644,6.5316,6.4544,6.531,2145,0,0
2006-10-02,6.5182,6.5789,6.5149,6.5643,2222,0,0
2006-10-03,6.5634,6.5969999999999995,6.5374,6.5876,2050,0,0
2006-10-04,6.5879,6.6441,6.5803,6.5992,13252,0,0
2006-10-05,6.5989,6.624,6.572,6.6139,12980,0,0
2006-10-06,6.6133,6.7029,6.6068,6.6786,13081,0,0
2006-10-09,6.6776,6.6866,6.6502,6.6832,10265,0,0
2006-10-10,6.6827,6.7027,6.6301,6.6939,15549,0,0
2006-10-11,6.6941,6.7447,6.6937999999999995,6.724,15856,0,0
2006-10-12,6.7229,6.7566,6.6943,6.7196,13593,0,0
2006-10-13,6.7185,6.7476,6.6997,6.7428,12467,0,0
2006-10-16,6.7429,6.7841000000000005,6.7177,6.7609,13994,0,0
2006-10-17,6.7614,6.7778,6.7424,6.7548,14980,0,0
2006-10-18,6.7555,6.7853,6.7317,6.7722999999999995,11661,0,0
2006-10-19,6.7726,6.7733,6.6753,6.6817,12184,0,0
2006-10-20,6.6814,6.6881,6.652,6.6875,9427,0,0
2006-10-23,6.6783,6.7133,6.6749,6.6998,8474,0,0
2006-10-24,6.7001,6.7024,6.6526,6.6693999999999996,8552,0,0
2006-10-25,6.6692,6.6693999999999996,6.584,6.5879,12236,0,0
2006-10-26,6.5874,6.5883,6.5265,6.5398,11842,0,0
2006-10-27,6.5395,6.5619,6.5072,6.5399,10876,0,0
2006-10-30,6.5413,6.5739,6.525,6.5725999999999996,8762,0,0
2006-10-31,6.5732,6.5766,6.5268,6.5367,10397,0,0
2006-11-01,6.5372,6.5503,6.4596,6.4698,9811,0,0
2006-11-02,6.4701,6.4779,6.4396,6.4577,10246,0,0
2006-11-03,6.4578,6.5011,6.4432,6.4795,8124,0,0
2006-11-06,6.4748,6.5099,6.4722,6.485,7123,0,0
2006-11-07,6.4846,6.49,6.4323,6.4536,9580,0,0
2006-11-08,6.4534,6.4678,6.4348,6.4475,8695,0,0
2006-11-09,6.4468,6.4525,6.4079,6.4107,9625,0,0
2006-11-10,6.4105,6.414,6.3522,6.3726,11253,0,0
2006-11-13,6.3735,6.4241,6.3478,6.4073,8530,0,0
2006-11-14,6.4061,6.4286,6.3811,6.4167,11365,0,0
2006-11-15,6.417,6.4501,6.4059,6.4213000000000005,8750,0,0
2006-11-16,6.4216,6.4565,6.402,6.4502,9506,0,0
2006-11-17,6.4504,6.4738,6.4331,6.4368,10062,0,0
2006-11-20,6.4474,6.4662,6.4184,6.4492,7926,0,0
2006-11-21,6.4483,6.4588,6.4204,6.4243,8038,0,0
2006-11-22,6.4245,6.4284,6.3644,6.3762,10426,0,0
2006-11-23,6.3765,6.3823,6.3573,6.3756,7657,0,0
2006-11-24,6.3758,6.3763,6.2768,6.3018,11368,0,0
2006-11-27,6.293,6.3178,6.2828,6.2948,10570,0,0
