date,open,high,low,close,tick_volume,spread,real_volume
2002-04-08,43.555,43.595,43.435,43.595,281,0,0
2002-04-09,43.55,43.6,43.465,43.52,241,0,0
2002-04-10,43.51,43.545,43.37,43.475,316,0,0
2002-04-11,43.47,43.615,43.39,43.515,406,0,0
2002-04-12,43.505,43.66,43.47,43.53,356,0,0
2002-04-15,43.535,43.6,43.155,43.47,826,0,0
2002-04-16,43.47,43.515,43.35,43.445,306,0,0
2002-04-17,43.455,43.485,43.265,43.335,321,0,0
2002-04-18,43.34,43.4,43.23,43.25,251,0,0
2002-04-19,43.33,43.355,43.18,43.295,316,0,0
2002-04-22,43.265,43.34,43.205,43.25,256,0,0
2002-04-23,43.25,43.36,43.142,43.3,387,0,0
2002-04-24,43.305,43.41,43.24,43.3,336,0,0
2002-04-25,43.29,43.3,43.115,43.21,291,0,0
2002-04-26,43.225,43.31,43.145,43.22,326,0,0
2002-04-29,43.225,43.285,43.15,43.235,261,0,0
2002-04-30,43.235,43.3,43.16,43.245,271,0,0
2002-05-01,43.265,43.32,43.155,43.22,286,0,0
2002-05-02,43.21,43.27,43.08,43.15,321,0,0
2002-05-03,43.16,43.18,42.935,43.075,406,0,0
2002-05-06,42.99,43.105,42.91,42.955,356,0,0
2002-05-07,42.98,42.98,42.785,42.935,346,0,0
2002-05-08,42.935,42.995,42.86,42.92,256,0,0
2002-05-09,42.92,42.985,42.82,42.92,331,0,0
2002-05-10,42.945,42.965,42.74,42.875,381,0,0
2002-05-13,42.905,42.905,42.755,42.825,221,0,0
2002-05-14,42.835,42.945,42.795,42.87,266,0,0
2002-05-15,42.895,42.995,42.775,42.855,401,0,0
2002-05-16,42.875,42.925,42.725,42.865,391,0,0
2002-05-17,42.86,42.905,42.495,42.605,566,0,0
2002-05-20,42.595,42.68,42.5,42.59,356,0,0
2002-05-21,42.635,42.77,42.525,42.605,461,0,0
2002-05-22,42.58,42.85,42.505,42.78,491,0,0
2002-05-23,42.79,43.02,42.66,42.865,646,0,0
2002-05-24,42.9,42.955,42.75,42.845,356,0,0
2002-05-27,42.865,42.895,42.735,42.78,236,0,0
2002-05-28,42.785,42.845,42.525,42.555,411,0,0
2002-05-29,42.575,42.63,42.39,42.455,361,0,0
2002-05-30,42.455,42.535,42.365,42.415,301,0,0
2002-05-31,42.4,42.465,42.305,42.34,261,0,0
2002-06-03,42.335,42.525,42.33,42.395,331,0,0
2002-06-04,42.475,42.475,42.285,42.35,256,0,0
2002-06-05,42.345,42.565,42.31,42.505,351,0,0
2002-06-06,42.53,42.65,42.4,42.545,486,0,0
2002-06-07,42.485,42.59,42.365,42.41,376,0,0
2002-06-10,42.515,42.54,42.35,42.39,256,0,0
2002-06-11,42.405,42.515,42.23,42.335,501,0,0
2002-06-12,42.335,42.405,42.145,42.315,501,0,0
2002-06-13,42.31,42.345,42.085,42.225,436,0,0
2002-06-14,42.215,42.265,42.055,42.17,376,0,0
2002-06-17,42.2,42.28,42.115,42.185,316,0,0
2002-06-18,42.175,42.23,42.065,42.195,311,0,0
2002-06-19,42.2,42.21,42.05,42.13,251,0,0
2002-06-20,42.125,42.155,42.02,42.05,196,0,0
2002-06-21,42.065,42.075,41.96,42.03,196,0,0
2002-06-24,42.08,42.12,41.73,41.84,541,0,0
2002-06-25,41.815,41.97,41.715,41.91,416,0,0
2002-06-26,41.885,41.935,41.52,41.755,701,0,0
2002-06-27,41.755,41.87,41.26,41.6,1066,0,0
2002-06-28,41.63,41.68,41.45,41.52,351,0,0
2002-07-01,41.53,41.585,41.413,41.565,310,0,0
2002-07-02,41.575,41.585,41.46,41.52,196,0,0
2002-07-03,41.515,41.72,41.505,41.59,356,0,0
2002-07-04,41.6,41.725,41.54,41.57,341,0,0
2002-07-05,41.535,41.725,41.525,41.62,316,0,0
2002-07-08,41.655,41.67,41.375,41.46,396,0,0
2002-07-09,41.385,41.515,41.22,41.245,451,0,0
2002-07-10,41.225,41.28,41.01,41.175,491,0,0
